Câu hỏi,Trả lời,Thủ tục liên quan
"Hiện nay tôi đã kết hôn, chồng tôi là người Nhật Bản. Vậy con tôi khi đăng ký khai sinh có được đặt tên và họ theo bố hay không?","Theo quy định tại khoản 1 Điều 4 Nghị định số 123/2015/NĐ-CP ngày 15/11/2015 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật hộ tịch, thì khi đăng ký khai sinh, họ, chữ đệm, tên của trẻ em được xác định theo thỏa thuận của cha, mẹ theo quy định của pháp luật dân sự và được thể hiện trong Tờ khai đăng ký khai sinh; trường hợp cha, mẹ không có thỏa thuận hoặc không thỏa thuận được, thì xác định theo tập quán. Bộ luật dân sự hiện hành chưa có quy định cụ thể về việc đặt tên, chữ đệm. Tuy nhiên, theo quy định của Bộ luật dân sự đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 10 thông qua ngày 24/11/2015, có hiệu lực từ ngày 01/01/2017 thì cá nhân có quyền có họ, tên (bao gồm cả chữ đệm, nếu có); họ của cá nhân được xác định là họ của cha đẻ hoặc họ của mẹ đẻ theo thỏa thuận của cha mẹ; nếu không có thỏa thuận thì họ của con được xác định theo tập quán; trường hợp chưa xác định được cha đẻ thì họ của con được xác định theo họ của mẹ đẻ. Tên của công dân Việt Nam phải bằng tiếng Việt hoặc tiếng dân tộc khác của Việt Nam; không đặt tên bằng số, bằng một ký tự mà không phải là chữ; việc đặt tên bị hạn chế trong trường hợp xâm phạm đến quyền, lợi ích hợp pháp của người khác hoặc trái với các nguyên tắc cơ bản của pháp luật dân sự Việt Nam (Điều 26). Đối với trường hợp của chị có quốc tịch Việt Nam và chồng chị có quốc tịch Nhật Bản là trường hợp đăng ký khai sinh có yếu tố nước ngoài, theo quy định pháp luật hộ tịch, nếu anh, chị lựa chọn quốc tịch Việt Nam cho con, thì họ của con anh, chị có thể xác định theo họ của cha, nhưng tên gọi (bao gồm cả chữ đệm) phải là tên tiếng Việt.",Thủ tục đăng ký khai sinh có yếu tố nước ngoài
"Con tôi chung sống với một anh sinh được một cháu trai, nhưng cả hai chưa lấy nhau nay đã chết. Vậy tôi muốn nhà nước xác nhận việc đó là bố mẹ của cháu tôi thì có được không?","Khi thực hiện đăng ký nhận cha, mẹ, con tại cơ quan đăng ký hộ tịch thì các bên phải có mặt. Như vậy, trường hợp một trong hai bên đã chết thì cơ quan đăng ký hộ tịch không thụ lý giải quyết. Điều 92 của Luật Hôn nhân và gia đình quy định: “Trong trường hợp có yêu cầu về việc xác định cha, mẹ, con mà người có yêu cầu chết thì người thân thích của người này có quyền yêu cầu Tòa án xác định cha, mẹ, con cho người yêu cầu đã chết”. Do đó, trường hợp này, ông, bà nội hoặc ông, bà ngoại của trẻ có thể yêu cầu Tòa án xác định cha, mẹ cho trẻ theo thủ tục tố tụng quy định tại khoản 2 Điều 101 Luật hôn nhân và gia đình năm 2014; khoản 4 Điều 27 Bộ luật Tố tụng dân sự.","Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài tại khu vực biên giới, Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con, Thủ tục đăng ký nhận cha, mẹ, con, Thủ tục ghi vào Sổ hộ tịch việc hộ tịch khác của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài (khai sinh; giám hộ; nhận cha, mẹ, con; xác định cha, mẹ, con; nuôi con nuôi; khai tử; thay đổi hộ tịch), Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài"
Tôi hiện đang cư trú tại thành phố Hà Nội. Tôi có quan hệ tình cảm với một chị và đã sinh được một bé trai. Do chúng tôi chưa đăng ký kết hôn và hiện tôi cũng đang có gia đình riêng. Vậy nay tôi muốn nhận con mình để nhập vào hộ khẩu nhà tôi thì cơ quan có thẩm quyền xác nhận quan hệ cho bố con tôi là cơ quan nào ạ? Tôi phải chuẩn bị những giấy tờ gì?,"Theo quy định tại Điều 3, Điều 7 Luật hộ tịch thì UBND cấp xã nơi anh cư trú hoặc con của anh cư trú có thẩm quyền thực hiện đăng ký nhận cha, con cho anh.Khi thực hiện thủ tục nhận cha, con, anh phải nộp tờ khai theo mẫu quy định tại Thông tư số 15/2015/TT-BTP ngày 16/11/2015 của Bộ Tư pháp quy định chi tiết thi hành một số điều của Luật hộ tịch và Nghị định số 123/2015/NĐ-CP; các chứng cứ chứng minh quan hệ cha con của anh cho cơ quan đăng ký hộ tịch. Khi đăng ký nhận cha, con thì anh và con anh phải có mặt.","Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài tại khu vực biên giới, Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con, Thủ tục đăng ký nhận cha, mẹ, con, Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài, Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài"
"Vợ tôi mới sinh con, nay tôi muốn đăng ký khai sinh cho con của tôi thì tôi phải đến đâu?","- Nếu anh và vợ anh đều là công dân Việt Nam cư trú ở trong nước thì theo quy định tại Điều 13 Luật hộ tịch, Ủy ban nhân dân cấp xã nơi cư trú (nơi thường trú hoặc nơi tạm trú) của anh hoặc vợ anh đều có thẩm quyền thực hiện đăng ký khai sinh cho con anh, chị.- Nếu vợ anh/anh là người nước ngoài, công dân Việt Nam định cư tại nước ngoài thì theo quy định tại Điều 35 Luật hộ tịch, thẩm quyền đăng ký khai sinh cho con anh, chị thuộc UBND cấp huyện nơi cư trú của anh hoặc vợ anh.",Thủ tục đăng ký khai sinh
"Tôi có chồng người Mỹ, đăng ký kết hôn tại Việt Nam, tôi mới sinh con tại Việt Nam. Vậy tôi xin hỏi, tôi muốn khai sinh cho con tôi thì phải làm như thế nào?","Theo quy định tại điểm a khoản 1 Điều 35 Luật Hộ tịch 2014 về thẩm quyền đăng ký khai sinh: “Ủy ban nhân dân cấp huyện nơi cư trú của người cha hoặc người mẹ thực hiện đăng ký khai sinh cho trẻ em trong các trường hợp sau đây:1.Trẻ em được sinh ra tại Việt Nam:a, Có cha hoặc mẹ là công dân Việt Nam còn người kia là người nước ngoài hoặc người không quốc tịch”Như vậy, UBND cấp huyện nơi cư trú của chị sẽ có thẩm quyền đăng ký khai sinh cho con của chị. Khi làm thủ tục đăng ký khai sinh cho con, anh, chị cần phải chuẩn bị những giấy tờ sau đây: - Giấy chứng sinh (bản chính)- Sổ Hộ khẩu/Sổ đăng ký tạm trú của chị để chứng minh nơi cư trú và xác định thẩm quyền đăng ký khai sinh;- Giấy chứng nhận kết hôn của hai vợ chồng chị- CMND/Hộ chiếu Việt Nam (bản chính và bản photo) của chị hoặc Hộ chiếu củachồng chị hoặc người đi đăng ký khai sinh thay (ông, bà hoặc người thân thích khác của con chị).- Điền các thông tin trong tờ khai đăng ký khai sinh (theo mẫu) quy định tại Thông tư số 05/2015/TT-BTP ngày 16/11/2015 của Bộ Tư pháp quy định chi tiết thi hành một số điều của Luật hộ tịch và Nghị định số 123/2015/NĐ-CP ngày 15/11/2015 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật hộ tịch.- Văn bản thỏa thuận của chị/chồng chị về việc lựa chọn quốc tịch cho con (Việt Nam hoặc Mỹ). Nếu chị và chồng chị lựa chọn quốc tịch Mỹ cho con thì văn bản thỏa thuận phải có xác nhận của cơ quan có thẩm quyền của Mỹ.*Lưu ý: Các giấy tờ bằng tiếng nước ngoài phải được hợp pháp hóa lãnh sự, dịch ra tiếng Việt theo quy định.",Thủ tục đăng ký khai sinh có yếu tố nước ngoài
"Hiện tôi đang gặp khó khăn trong việc làm khai sinh cho con của tôi ở mục quê quán. Chồng tôi (bố của bé) sinh ra và lớn lên tại Nam Định nhưng trên CMND của chồng tôi ghi nguyên quán là Hà Nam, hiện nay chồng tôi đang công tác tại Hà Nội. Chúng tôi vừa sinh con được hơn một tháng thì đến UBND xã (nơi cư trú của tôi) làm giấy khai sinh cho cháu. Khi đi chúng tôi mang theo giấy chứng sinh, giấy kết hôn, sổ hộ khẩu và CMND của hai vợ chồng. Khi điền thông tin vào tờ khai, chúng tôi ghi thông tin ở mục quê quán của cháu là Nam Định thì cán bộ tư pháp không đồng ý, cán bộ bảo rằng phải ghi ở Hà Nam theo trên CMND của chồng tôi. Nhưng hiện tại, gia đình bên chồng tôi chẳng còn ai ở Hà Nam và chồng tôi cũng không sinh ra và lớn lên tại Hà Nam nên nếu điền quê quán của cháu ở Hà Nam thì có ảnh hưởng đến việc xác minh lý lịch sau này của cháu không ạ? Và điền thông tin ở Hà Nam hay Nam Định mới đúng ạ?","Theo quy định tại khoản 8 Điều 4 Luật hộ tịch thì: Quê quán của cá nhân được xác định theo quê quán của cha hoặc mẹ theo thỏa thuận của cha, mẹ hoặc theo tập quán được ghi trong tờ khai khi đăng ký khai sinh. Do đó, trên giấy tờ tùy thân của chồng chị đã được xác định quê quán là “Hà Nam” thì việc lựa chọn quê quán cho con theo quê quán của cha là “Hà Nam” là phù hợp quy định của pháp luật.",Thủ tục đăng ký khai sinh
Bảo hiểm y tế là gì?,"Bảo hiểm y tế là hình thức bảo hiểm bắt buộc được áp dụng đối với các đối tượng theo quy định của Luật BHYT để chăm sóc sức khỏe, không vì mục đích lợi nhuận do Nhà nước tổ chức thực hiện.","Thanh toán trực tiếp chi phí khám, chữa bệnh BHYT/Cấp giấy chứng nhận không cùng chi trả trong năm, Khám chữa bệnh bảo hiểm y tế, Thanh toán chi phí BHYT với cơ sở KCB BHYT, Đăng ký đóng, cấp thẻ BHYT đối với người chỉ tham gia BHYT, Đổi thẻ bảo hiểm y tế"
"Do một số lý do về sức khỏe, chị tôi không thể đi đăng ký khai sinh cho con. Vậy tôi là dì ruột của cháu tôi thì tôi có quyền đi đăng ký khai sinh cho cháu tôi hay không?","Điều 15 Luật Hôn nhân và gia đình 2014 quy định về trách nhiệm đăng ký khai sinh, theo đó: “Trong thời hạn 60 ngày kể từ ngày sinh con, cha hoặc mẹ có trách nhiệm đăng ký khai sinh cho con; trường hợp cha, mẹ không thể đăng ký khai sinh cho con thì ông hoặc bà hoặc người thân thích khác hoặc cá nhân, tổ chức đang nuôi dưỡng trẻ em có trách nhiệm đăng ký khai sinh cho trẻ em.”Đối chiếu theo quy định trên, trong trường hợp cha, mẹ không thể đăng ký khai sinh cho con thì những người khác trong gia đình hoặc cá nhân, tổ chức đang nuôi dưỡng trẻ em có trách nhiệm đăng ký khai sinh cho trẻ em. Do đó, chị với tư cách là dì ruột cháu bé có thể đi đăng ký khai sinh cho cháu theo quy định.",Thủ tục đăng ký khai sinh
"Trước đây tôi đã kết hôn với một công dân Đức và sinh sống, cư trú tại Đức. Tuy nhiên, do hôn nhân không hạnh phúc nên đầu tháng 8/2018 tôi đã về nước và chung sống với một anh người Việt Nam và sinh được một cháu trai (tôi vẫn chưa làm thủ tục ly hôn với chồng Đức của mình). Vậy khi đăng ký khai sinh cho con tôi, tôi muốn ghi tên bố thật là anh người Việt Nam cho con tôi có được không ạ?","Khoản 1 Điều 88 Luật hôn nhân và gia đình năm 2014 quy định “Con sinh ra trong thời kỳ hôn nhân hoặc do người vợ có thai trong thời kỳ hôn nhân là con chung của vợ chồng. Con sinh ra trong thời hạn 300 ngày kể từ thời điểm chấm dứt hôn nhân được coi là do người vợ có thai trong thời kỳ hôn nhân”. Trong trường hợp này, do chị chưa hoàn tất thủ tục ly hôn với chồng cũ nên quan hệ hôn nhân giữa hai người chưa chấm dứt, do đó, cháu bé sinh trong thời kỳ hôn nhân được xác định là con chung của hai vợ chồng (mặc dù người chồng nước ngoài của chị không phải là người cha trên thực tế của đứa trẻ). Trường hợp chị có yêu cầu xác định người cha trên thực tế của trẻ thì cơ quan đăng ký hộ tịch hướng dẫn công dân liên hệ với Tòa án nhân dân có thẩm quyền để được giải quyết yêu cầu xác định cha cho con theo quy định của Luật hôn nhân và gia đình. Trường hợp Tòa án không thụ lý, giải quyết hoặc đình chỉ việc giải quyết do không có tranh chấp thì để bảo đảm quyền lợi của trẻ em, tránh tình trạng trẻ em không được đăng ký khai sinh, thì Ủy ban nhân dân có thẩm quyền thực hiện đăng ký khai sinh cho trẻ theo diện con chưa xác định được cha theo quy định tại Điều 15 Nghị định số 123/2015/NĐ-CP (nếu kết quả giám định ADN xác định người chồng Đức của chị không phải là cha đẻ và người cha thực tế của con chị cũng không có yêu cầu nhận con). Trường hợp người cha thực tế của con chị có yêu cầu nhận con thì kết hợp giải quyết đăng ký khai sinh và nhận con theo quy định tại Điều 12 Thông tư số 15/2015/TT-BTP, trong hồ sơ phải có văn bản từ chối hoặc đình chỉ giải quyết của Tòa án, kết quả giám định AND.","Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con, Thủ tục đăng ký khai sinh, Thủ tục đăng ký khai sinh lưu động"
"Tôi là công dân Việt Nam, có con với một công dân Hàn Quốc. Anh này đã có vợ bên Hàn Quốc. Vậy cho tôi hỏi con tôi sinh ra tại Việt Nam thì tôi phải làm thế nào để đăng ký khai sinh cho con của tôi và con tôi có thể có cả 2 quốc tịch Việt Nam và Hàn Quốc hay không?","Theo thông tin chị cung cấp, chị chưa đăng ký kết hôn với anh quốc tịch Hàn Quốc, do đó, việc đăng ký khai sinh cho con chị sẽ được thực hiện theo diện trẻ em chưa xác định được cha theo quy định tại khoản 2 Điều 15 Nghị định số 123/2015/NĐ-CP. Theo đó, họ, dân tộc, quê quán, quốc tịch của con được xác định theo họ, dân tộc, quê quán, quốc tịch của mẹ. Thẩm quyền giải quyết thuộc Ủy ban nhân dân cấp xã nơi chị đang cư trú. Trường hợp người cha muốn nhận con thì bạn có thể kết hợp thực hiện thủ tục nhận con và đăng ký khai sinh. Họ, chữ đệm, tên và dân tộc của trẻ được xác định theo thỏa thuận của cha, mẹ theo quy định của pháp luật dân sự; quốc tịch của trẻ em được xác định theo quy định của pháp luật quốc tịch (khoản 2 Điều 16 Luật quốc tịch Việt Nam năm 2008). Thẩm quyền giải quyết thuộc Ủy ban nhân dân cấp huyện nơi bạn đang cư trú.Theo quy định của Luật quốc tịch Việt Nam thì công dân Việt Nam có một quốc tịch là quốc tịch Việt Nam, do đó, bạn không thể đăng ký cho con bạn có 02 quốc tịch. Trường hợp người cha Hàn Quốc làm thủ tục nhận cha, con thì hai người có thể lựa chọn quốc tịch cho con nhưng con của chị vẫn chỉ có một quốc tịch là quốc tịch Việt Nam hoặc quốc tịch Hàn Quốc.",Thủ tục đăng ký khai sinh có yếu tố nước ngoài
