Câu hỏi,Trả lời,Thủ tục liên quan
Tôi muốn hỏi về trình tự xét đặc cách tốt nghiệp THPT như thế nào?,"Để xét đặc cách tốt nghiệp THPT có trình tự như sau:a) Chậm nhất 07 ngày sau buổi thi cuối cùng của kỳ thi, thí sinh phải nộp hồ sơ đặc cách cho Thủ trưởng đơn vị nơi thí sinh đăng ký dự thi. Thủ trưởng đơn vị nơi thí sinh đăng ký dự thi chịu trách nhiệm thu nhận và chuyển giao hồ sơ đặc cách cho Sở giáo dục và đào tạo;b) Hội đồng xét công nhận tốt nghiệp trung học phổ thông xem xét, quyết định đặc cách cho thí sinh căn cứ hồ sơ và các quy định tại khoản 1 Điều 34 Quy chế thi trung học phổ thông quốc gia và xét công nhận tốt nghiệp trung học phổ thông ban hành kèm theo Thông tư số 04/2017/TT-BGDĐT ngày 25 tháng 01 năm 2017 của Bộ trưởng Bộ Giáo dục và Đào tạo.",Xét đặc cách tốt nghiệp trung học phổ thông
Tôi muốn nộp hồ sơ cho con đăng ký dự thi trung học phổ thông quốc gia thì thành phần hồ sơ gồm những loại giấy tờ nào?,"Bạn muốn nộp hồ sơ cho con đăng ký dự thi trung học phổ thông quốc gia thì thành phần hồ sơ phải có những giấy tờ sau:1. Đối với đối tượng thí sinh chưa có bằng tốt nghiệp THPT:a) 02 Phiếu đăng ký dự thi giống nhau; b) Học bạ THPT hoặc học bạ GDTX cấp THPT (bản sao được chứng thực từ bản chính, bản sao được cấp từ sổ gốc hoặc bản sao kèm bản gốc để đối chiếu); c) Các giấy chứng nhận hợp lệ để được hưởng chế độ ưu tiên, khuyến khích (nếu có). Để được hưởng chế độ ưu tiên liên quan đến nơi đăng ký hộ khẩu thường trú, thí sinh phải có bản sao Sổ đăng ký hộ khẩu thường trú;d) 02 ảnh cỡ 4x6 cm, 02 phong bì đã dán sẵn tem và ghi rõ địa chỉ, số điện thoại liên lạc của thí sinh.Đối với đối tượng là thí sinh tự do, ngoài các hồ sơ trên còn có thêm:đ) Giấy xác nhận của trường phổ thông nơi thí sinh học lớp 12 hoặc nơi thí sinh đăng ký dự thi về xếp loại học lực đối với thí sinh không đủ điều kiện dự thi trong các năm trước do bị xếp loại kém về học lực ở lớp 12;e) Bằng tốt nghiệp THCS hoặc trung cấp (bản sao được chứng thực từ bản chính, bản sao được cấp từ sổ gốc hoặc bản sao kèm bản gốc để đối chiếu);g) Giấy xác nhận điểm bảo lưu (nếu có) do Hiệu trưởng trường phổ thông nơi thí sinh đã dự thi năm trước xác nhận.Riêng đối với thí sinh đã tốt nghiệp trung cấp không có học bạ THPT hoặc học bạ GDTX cấp THPT đăng ký dự thi để lấy kết quả xét tuyển vào đại học xét tuyển vào cao đẳng, trung cấp có nhóm ngành đào tạo giáo viên phải học và được công nhận đã hoàn thành các môn văn hóa trung học phổ thông theo quy định.Hồ sơ xét công nhận tốt nghiệp THPT được thí sinh hoàn thiện và nộp tại nơi đăng ký dự thi theo quy định trong hướng dẫn hằng năm của Bộ Giáo dục và Đào tạo.2. Đối với thí sinh tự do đã tốt nghiệp THPT:a) 02 Phiếu đăng ký dự thi giống nhau; b) Bằng tốt nghiệp THPT hoặc trung cấp (bản sao);c) 02 ảnh cỡ 4x6 cm, 02 phong bì đã dán sẵn tem và ghi rõ địa chỉ liên lạc của thí sinh.",Đăng ký dự thi tốt nghiệp trung học phổ thông
Tôi muốn đăng ký dự thi trung học phổ thông quốc gia phải dựa theo văn bản pháp lý nào?,"Bạn muốn đăng ký dự thi trung học phổ thông quốc gia phải dự theo văn bản pháp lý sau đây:- Thông tư số 04/2017/TT-BGDĐT ngày 25 tháng 01 năm 2017 của Bộ trưởng Bộ Giáo dục và Đào tạo ban hành Quy chế thi trung học phổ thông quốc gia và xét công nhận tốt nghiệp trung học phổ thông;- Thông tư số 04/2018/TT-BGDĐT ngày 28 tháng 02 năm 2018 của Bộ trưởng Bộ Giáo dục và Đào tạo sửa đổi, bổ sung Thông tư số 04/2017/TT-BGDĐT ngày 25 tháng 01 năm 2017 của Bộ trưởng Bộ Giáo dục và Đào tạo ban hành Quy chế thi trung học phổ thông quốc gia và xét công nhận tốt nghiệp trung học phổ thông.",Đăng ký dự thi tốt nghiệp trung học phổ thông
"Tôi muốn làm thủ tục cấp bản sao văn bằng, chứng chỉ từ sổ gốc, thì thành phần hồ sơ phải có những loại giấy tờ gì và quy định như thế nào?","Bạn muốn làm thủ tục cấp bản sao văn bằng, chứng chỉ từ sổ gốc, thì thành phần hồ sơ phải có những loại giấy tờ và những quy định sau đây:a) Giấy chứng minh nhân dân hoặc hộ chiếu còn giá trị sử dụng (bản sao có chứng thực hoặc bản chính).b) Trường hợp người yêu cầu cấp bản sao văn bằng, chứng chỉ từ sổ gốc là người đại diện theo pháp luật, người đại diện theo ủy quyền của người được cấp bản chính văn bằng, chứng chỉ hoặc là Cha, mẹ, con; vợ, chồng; anh, chị, em ruột; người thừa kế khác của người được cấp bản chính văn bằng, chứng chỉ trong trường hợp người đó đã chết thì còn phải xuất trình giấy tờ chứng minh quan hệ với người được cấp bản chính văn bằng, chứng chỉ.c) Trường hợp người yêu cầu cấp bản sao văn bằng, chứng chỉ từ sổ gốc gửi yêu cầu qua bưu điện thì phải gửi kèm theo bản sao có chứng thực giấy tờ theo quy định và 01 (một) phong bì dán tem ghi rõ họ tên, địa chỉ người nhận cho cơ quan, cơ sở giáo dục cấp bản sao.","Cấp bản sao văn bằng, chứng chỉ từ sổ gốc"
"Tôi muốn hỏi, khi làm thủ tục cấp bản sao văn bằng, chứng chỉ từ sổ gốc, phải căn cứ văn bản pháp lý nào?","Khi làm thủ tục cấp bản sao văn bằng, chứng chỉ từ sổ gốc, phải căn cứ văn bản pháp lý sau đây:Thông tư số 19/2015/TT-BGDĐT ngày 08/9/2015 của Bộ trưởng Bộ Giáo dục và Đào tạo ban hành Quy chế quản lý bằng tốt nghiệp trung học cơ sở, bằng tốt nghiệp trung học phổ thông, văn bản giáo dục đại học và chứng chỉ của hệ thống giáo dục quốc dân.","Cấp bản sao văn bằng, chứng chỉ từ sổ gốc"
Thành phần hồ sơ để làm thủ tục chuyển trường đối với học sinh trung học cơ sở như thế nào?,"Thành phần hồ sơ gồm:a) Đơn xin chuyển trường do cha hoặc mẹ hoặc người giám hộ ký.b) Học bạ (bản chính).c) Bằng tốt nghiệp cấp học dưới (bản công chứng).d) Bản sao giấy khai sinh.đ) Giấy chứng nhận trúng tuyển vào lớp đầu cấp trung học phổ thông quy định cụ thể loại hình trường được tuyển (công lập hoặc ngoài công lập).e) Giấy giới thiệu chuyển trường do Hiệu trưởng nhà trường nơi đi cấp.g) Giấy giới thiệu chuyển trường do Trưởng phòng giáo dục và đào tạo (đối với cấp trung học cơ sở);h) Các giấy tờ hợp lệ để được hưởng chế độ ưu tiên, khuyến khích trong học tập, thi tuyển sinh, thi tốt nghiệp (nếu có).i) Hộ khẩu hoặc Giấy chứng nhận tạm trú dài hạn hoặc quyết định điều động công tác của cha hoặc mẹ hoặc người giám hộ tại nơi sẽ chuyển đến với những học sinh chuyển nơi cư trú đến từ tỉnh, thành phố khác.k) Giấy xác nhận của chính quyền địa phương nơi học sinh cư trú với những học sinh có hoàn cảnh đặc biệt khó khăn về gia đình.",Chuyển trường đối với học sinh trung học cơ sở
"Thành phần, số lượng hồ sơ việc thuyên chuyển trường học bổ túc trung học cơ sở gồm những gì?",Hồ sơ bao gồm:a) Đơn xin chuyển trường.b) Văn bản đồng ý của trường nơi xin chuyển đến.Số lượng hồ sơ: Không quy định.,Thuyên chuyển đối tượng học bổ túc trung học cơ sở
Thuyên chuyển trường cho học sinh tiểu học có yêu cầu và điều kiện gì không ?,"Yêu cầu và điều kiện việc chuyển trường cho học sinh tiểu học như sau: Học sinh trong độ tuổi tiểu học có nhu cầu học chuyển trường, được chuyển đến trường tiểu học tại nơi cư trú hoặc trường tiểu học ngoài nơi cư trú nếu trường tiếp nhận đồng ý",Chuyển trường đối với học sinh tiểu học
Tôi muốn biết thủ tục hỗ trợ học tập đối với trẻ mẫu giáo các dân tộc thiểu số rất ít người đang học tại các cơ sở giáo dục ngoài công lập trình tự thực hiện như thế nào?,"- Đầu năm học, các cơ sở giáo dục mầm non, cơ sở giáo dục phổ thông có trẻ mẫu giáo dân tộc thiểu số rất ít người theo học tổ chức phổ biến, thông báo rộng rãi, hướng dẫn cho cha mẹ (hoặc người chăm sóc) trẻ mẫu giáo thuộc đối tượng được hưởng chính sách làm đơn đề nghị hỗ trợ học tập.- Trong thời hạn 20 ngày làm việc, kể từ ngày niêm yết thông báo, cha mẹ (hoặc người chăm sóc) trẻ mẫu giáo nộp đơn cho cơ sở giáo dục. Các cơ sở giáo dục có trách nhiệm xác nhận vào đơn đề nghị hỗ trợ học tập của cha mẹ (hoặc người chăm sóc) trẻ mẫu giáo dân tộc thiểu số rất ít người.- Trong thời hạn 30 ngày làm việc, kể từ ngày khai giảng năm học, khóa học, cha mẹ (hoặc người chăm sóc) trẻ mẫu giáo nộp đơn đề nghị hỗ trợ học tập cho phòng giáo dục và đào tạo tại nơi trẻ mẫu giáo có hộ khẩu thường trú.- Trong thời hạn 10 ngày làm việc, kể từ ngày hết hạn nhận đơn đề nghị hỗ trợ, phòng giáo dục và đào tạo có trách nhiệm tổ chức xem xét đơn, lập và phê duyệt danh sách đối tượng được hưởng, niêm yết công khai danh sách đối tượng được hưởng chính sách và thực hiện chi trả.- Phòng giáo dục và đào tạo chi trả tiền hỗ trợ học tập trực tiếp cho cha mẹ (hoặc người chăm sóc) trẻ mẫu giáo thuộc các cơ sở giáo dục ngoài công lập. Tùy thuộc vào điều kiện thực tế của đối tượng được hưởng, việc chi trả có thể thực hiện theo tháng hoặc theo quý.","Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Thủ tục hỗ trợ học tập đối với trẻ mẫu giáo các dân tộc thiểu số rất ít người kết quả thực hiện là gì?,- Quyết định phê duyệt danh sách trẻ mẫu giáo dân tộc thiểu số rất ít người được hưởng hỗ trợ học tập.- Trẻ mẫu giáo dân tộc thiểu số rất ít người học tại các cơ sở giáo dục mầm non được hưởng mức hỗ trợ học tập bằng 30% mức lương cơ sở/trẻ/tháng.Thời gian được hưởng hỗ trợ: 12 tháng/năm cho đối tượng có thời gian học đủ 9 tháng/năm trở lên; trường hợp đối tượng học không đủ 9 tháng/năm thì được hưởng theo thời gian học thực tế.,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Thủ tục hỗ trợ học tập đối với học sinh tiểu học các dân tộc thiểu số rất ít người kết quả thực hiện như thế nào?,- Quyết định phê duyệt danh sách học sinh dân tộc thiểu số rất ít người được hưởng hỗ trợ học tập.- Học sinh dân tộc thiểu số rất ít người học tại các trường tiểu học được hưởng mức hỗ trợ học tập bằng 40% mức lương cơ sở/học sinh/tháng.- Học sinh dân tộc thiểu số rất ít người học tại các trường phổ thông dân tộc bán trú hoặc là học sinh bán trú học tại trường phổ thông công lập có học sinh bán trú được hưởng mức hỗ trợ học tập bằng 60% mức lương cơ sở /học sinh/tháng.- Học sinh dân tộc thiểu số rất ít người học tại các trường phổ thông dân tộc nội trú được hưởng mức hỗ trợ học tập bằng 100% mức lương cơ sở/học sinh/tháng.Thời gian được hưởng hỗ trợ: 12 tháng/năm cho đối tượng có thời gian học đủ 9 tháng/năm trở lên; trường hợp đối tượng học không đủ 9 tháng/năm thì được hưởng theo thời gian học thực tế.,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Tôi muốn biết thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người kết quả thực hiện như thế nào?,"- Quyết định phê duyệt danh sách học sinh dân tộc thiểu số rất ít người được hưởng hỗ trợ học tập.- Học sinh dân tộc thiểu số rất ít người học tại các trường trung học cơ sở được hưởng mức hỗ trợ học tập bằng 40% mức lương cơ sở/học sinh/tháng.- Học sinh dân tộc thiểu số rất ít người học tại các trường phổ thông dân tộc bán trú hoặc là học sinh bán trú học tại trường phổ thông công lập có học sinh bán trú được hưởng mức hỗ trợ học tập bằng 60% mức lương cơ sở /học sinh/tháng.- Học sinh dân tộc thiểu số rất ít người học tại các trường phổ thông dân tộc nội trú được hưởng mức hỗ trợ học tập bằng 100% mức lương cơ sở/học sinh/tháng.-Học sinh dân tộc thiểu số rất ít người học tại các trường, khoa dự bị đại học, các cơ sở giáo dục đại học được hưởng mức hỗ trợ học tập bằng 100% mức lương cơ sở/người/thángThời gian được hưởng hỗ trợ: 12 tháng/năm cho đối tượng có thời gian học đủ 9 tháng/năm trở lên; trường hợp đối tượng học không đủ 9 tháng/năm thì được hưởng theo thời gian học thực tế.","Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Tôi muốn biết thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người phí và lệ phí như thế nào?,Không mất phí.,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Đối tượng thực hiện thủ tục hỗ trợ học tập đối với sinh viên các dân tộc thiểu số rất ít người như thế nào?,"Sinh viên thuộc 16 dân tộc: Cống, Mảng, Pu Péo, Si La, Cờ Lao, Bố Y, La Ha, Ngái, Chứt, Ơ Đu, Brâu, Rơ Măm, Lô Lô, Lự, Pà Thẻn, La Hủ đang học tập tại các cơ sở giáo dục thuộc hệ thống giáo dục quốc dân.","Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
"Tôi muốn hỏi về việc tiếp nhận lưu học sinh về nước, có thành phần, số lượng bộ hồ sơ như thế nào?","Thành phần, số lượng bộ hồ sơ việc tiếp nhận lưu học sinh về nước như sau:Số lượng hồ sơ: 01 bộ hồ sơThành phần hồ sơ gồm:- Đối với lưu học sinh tốt nghiệp về nước+ Báo cáo tốt nghiệp (theo Mẫu của Thông tư số 10/2014/TT-BGDĐT ngày 11/4/2014);+ Bản sao và bản dịch hợp lệ sang tiếng Việt bằng tốt nghiệp, kết quả học tập. Trường hợp chưa được cấp bằng thì nộp giấy chứng nhận đã hoàn thành khóa học kèm theo bảng điểm (đối với lưu học sinh tốt nghiệp trình độ đại học, thạc sĩ), xác nhận kết quả nghiên cứu, bảo vệ luận án (đối với lưu học sinh tốt nghiệp trình độ tiến sĩ);+ Giấy biên nhận đã nộp luận án cho Thư viện Quốc gia Việt Nam hoặc Thư viện Khoa học tổng hợp Thành phố Hồ Chí Minh (đối với lưu học sinh tốt nghiệp trình độ tiến sĩ);+ Thẻ lên máy bay về nước (boarding pass) và bản chụp hộ chiếu trang có ảnh và trang đóng dấu ngày nhập cảnh về nước;+ Đơn đề nghị truy lĩnh chế độ kinh phí chưa được cấp (nếu có) kèm theo chứng từ gốc có liên quan và bản dịch hợp lệ sang tiếng Việt.",Tiếp nhận du học sinh học bổng ngân sách nhà nước tốt nghiệp về nước
