Câu hỏi,Trả lời,Thủ tục liên quan
"Khi đi khám, chữa bệnh bảo hiểm y tế, cơ sở khám, chữa bệnh bảo hiểm y tế yêu cầu tôi phải sao chụp thẻ bảo hiểm y tế và giấy chứng minh nhân thân khác như thế có đúng không?","Khoản 8 Điều 15 Nghị định 146/2018/NĐ-CP ngày 17/10/2018 của Chính phủ quy định chi tiết và hướng dẫn biện pháp thi hành một số điều của Luật Bảo hiểm y tế quy định: Cơ sở khám, chữa bệnh, cơ quan bảo hiểm xã hội không được quy định thêm thủ tục khám, chữa bệnh bảo hiểm y tế ngoài các thủ tục quy định tại Nghị định 146/2018/NĐ-CP. Trường hợp cơ sở khám, chữa bệnh, cơ quan bảo hiểm xã hội cần sao chụp thẻ bảo hiểm y tế, các giấy tờ liên quan đến khám, chữa bệnh của người bệnh để phục vụ cho công tác quản lý thì phải tự sao chụp, không được yêu cầu người bệnh sao chụp hoặc chi trả cho khoản chi phí này.",Khám chữa bệnh bảo hiểm y tế
Phương thức đóng BHYT của một số nhóm đối tượng theo quy định của pháp luật BHYT cụ thể như thế nào?,"1. Đối với người đang hưởng lương hưu, trợ cấp mất sức lao động, trợ cấp bảo hiểm xã hội hằng tháng do ngân sách nhà nước đảm bảo quy định tại Điều 2 và khoản 2 Điều 3 NĐ số:146/2018/NĐ-CP: Hằng tháng, cơ quan BHXH thực hiện đóng BHYT cho đối tượng này từ nguồn kinh phí chi trả lương hưu, trợ cấp BHXH do ngân sách nhà nước đảm bảo.2. Đối với đối tượng quy định tại các khoản 3, 8, 11, 12 và 16 Điều 3 NĐ số:146/2018/NĐ-CP: Hằng quý, cơ quan lao động - thương binh và xã hội chuyển kinh phí từ nguồn thực hiện chính sách ưu đãi người có công với cách mạng, nguồn thực hiện chính sách bảo trợ xã hội vào quỹ BHYT. Chậm nhất đến ngày 15 tháng 12 hằng năm, cơ quan lao động - thương binh và xã hội phải thực hiện xong việc thanh toán, chuyển kinh phí vào quỹ BHYT của năm đó.3. Đối với đối tượng quy định tại các khoản 1, 4, 6, 7, 10, 13, 14 và 17 Điều 3, đối tượng quy định tại khoản 1 và 2 Điều 4 NĐ số:146/2018/NĐ-CP mà được ngân sách nhà nước hỗ trợ 100% mức đóng BHYT: Hằng quý, cơ quan BHXH tổng hợp số thẻ BHYT đã phát hành và số tiền đóng, hỗ trợ đóng theo Mẫu số 1 Phụ lục ban hành kèm theo NĐ số:146/2018/NĐ-CP, gửi cơ quan tài chính để chuyển kinh phí vào quỹ BHYT theo quy định tại khoản 9 Điều 9 NĐ số:146/2018/NĐ-CP. Thời điểm để tính số tiền phải đóng: Các đối tượng được lập danh sách hằng năm, tính tiền đóng từ ngày 01 tháng 01; đối với các đối tượng được bổ sung trong năm, tính tiền đóng từ ngày được xác định tại Quyết định phê duyệt danh sách của cơ quan nhà nước có thẩm quyền. 4. Đối với đối tượng quy định tại khoản 6 Điều 3 NĐ số:146/2018/NĐ-CP (trừ những người đang tham gia BHYT thuộc đối tượng khác, hưởng lương hưu, trợ cấp BHXH, trợ cấp ưu đãi người có công với cách mạng): Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, cơ quan quản lý đối tượng thực hiện đóng BHYT cho đối tượng này.5. Đối với học sinh, sinh viên quy định tại khoản 3 Điều 4 NĐ số:146/2018/NĐ-CP:a) Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, học sinh, sinh viên hoặc cha, mẹ, người giám hộ của học sinh, sinh viên có trách nhiệm đóng BHYT phần thuộc trách nhiệm đóng theo quy định tại khoản 2 Điều 10 NĐ số:146/2018/NĐ-CP cho cơ quan BHXH;b) Ngân sách nhà nước hỗ trợ như sau: - Học sinh, sinh viên đang theo học tại cơ sở giáo dục hoặc cơ sở giáo dục nghề nghiệp trực thuộc bộ, cơ quan trung ương thì do ngân sách trung ương hỗ trợ. Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, BHXH cấp tỉnh tổng hợp số thẻ BHYT đã phát hành, số tiền thu của học sinh, sinh viên và số tiền ngân sách nhà nước hỗ trợ đóng theo Mẫu số 1 Phụ lục ban hành kèm theo NĐ số:146/2018/NĐ-CP, gửi BHXH Việt Nam tổng hợp, gửi Bộ Tài chính để chuyển kinh phí vào quỹ BHYT theo quy định tại khoản 9 Điều 9 NĐ số:146/2018/NĐ-CP. - Học sinh, sinh viên đang theo học tại cơ sở giáo dục hoặc cơ sở giáo dục nghề nghiệp khác thì ngân sách địa phương, bao gồm cả phần ngân sách trung ương hỗ trợ (nếu có), nơi cơ sở giáo dục đó đặt trụ sở hỗ trợ, không phân biệt hộ khẩu thường trú của học sinh, sinh viên. Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, cơ quan BHXH tổng hợp số thẻ BHYT đã phát hành, số tiền thu của học sinh, sinh viên và số tiền ngân sách nhà nước hỗ trợ đóng theo Mẫu số 1 Phụ lục ban hành kèm theo NĐ số:146/2018/NĐ-CP, gửi cơ quan tài chính để chuyển kinh phí vào quỹ bảo hiểm y tế theo quy định tại khoản 9 Điều 9 NĐ số:146/2018/NĐ-CP. 6. Đối với các đối tượng được ngân sách nhà nước hỗ trợ một phần mức đóng BHYT quy định tại khoản 4 Điều 4 NĐ số:146/2018/NĐ-CP: a) Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, người đại diện của hộ gia đình trực tiếp nộp tiền đóng BHYT phần thuộc trách nhiệm đóng của mình theo quy định tại khoản 2 Điều 10 NĐ số:146/2018/NĐ-CP cho cơ quan BHXH;b) Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, cơ quan BHXH tổng hợp số thẻ BHYT đã phát hành, số tiền thu của người tham gia và số tiền ngân sách nhà nước hỗ trợ đóng theo Mẫu số 1 Phụ lục ban hành kèm theo NĐ số:146/2018/NĐ-CP, gửi cơ quan tài chính để chuyển kinh phí vào quỹ BHYT theo quy định tại khoản 9 Điều 9 NĐ số:146/2018/NĐ-CP.7. Đối với đối tượng tham gia BHYT theo hộ gia đình quy định tại Điều 5 NĐ số:146/2018/NĐ-CP: Định kỳ 03 tháng, 06 tháng hoặc 12 tháng, người đại diện hộ gia đình hoặc thành viên hộ gia đình tham gia BHYT nộp tiền đóng NĐ số:146/2018/NĐ-CP theo quy định tại khoản 3 Điều 10 NĐ số:146/2018/NĐ-CP cho cơ quan BHXH. 8. Đối với đối tượng tham gia BHYT theo quy định tại Điều 6 NĐ số:146/2018/NĐ-CP, hằng tháng người sử dụng lao động đóng BHYT cho đối tượng này cùng với việc đóng BHYT cho người lao động theo quy định từ các nguồn như sau:a) Đối với đơn vị sử dụng ngân sách nhà nước thì do ngân sách nhà nước đảm bảo;b) Đối với đơn vị sự nghiệp thì sử dụng kinh phí của đơn vị theo quy định của pháp luật về cơ chế tự chủ của đơn vị sự nghiệp công lập;c) Đối với doanh nghiệp thì sử dụng kinh phí của doanh nghiệp.9. Cơ quan tài chính căn cứ quy định về phân cấp quản lý ngân sách của cấp có thẩm quyền và bảng tổng hợp đối tượng, kinh phí ngân sách nhà nước đóng, hỗ trợ đóng do cơ quan bảo hiểm xã hội chuyển đến, có trách nhiệm chuyển kinh phí vào quỹ BHYT mỗi quý một lần. Chậm nhất đến ngày 15 tháng 12 hằng năm phải thực hiện xong việc chuyển kinh phí vào quỹ BHYT của năm đó.10. Đối với đối tượng quy định tại khoản 15 Điều 3 NĐ số:146/2018/NĐ-CP, hằng quý cơ quan, đơn vị, tổ chức cấp học bổng đóng BHYT theo quy định vào quỹ BHYT.","Đăng ký đóng, cấp thẻ BHYT đối với người chỉ tham gia BHYT, Cấp thẻ bảo hiểm y tế"
"Tôi muốn đăng ký khám chữa bệnh ban đầu thì cần hồ sơ, thủ tục gì?","1. Đối với người tham gia bảo hiểm xã hội, bảo hiểm y tế: Thực hiện cùng với thủ tục cấp thẻ bảo hiểm y tế theo hướng dẫn tại Điều 23 Quyết định số 595/QĐ-BHXH, cụ thể:- Người tham gia BHYT: kê khai theo Tờ khai tham gia, điều chỉnh thông tin bảo hiểm xã hội, bảo hiểm y tế (Mẫu TK1-TS).- Đơn vị: Lập Tờ khai đơn vị tham gia, điều chỉnh thông tin bảo hiểm xã hội, bảo hiểm y tế (Mẫu TK3-TS); Danh sách lao động tham gia bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp, bảo hiểm tai nạn lao động, bệnh nghề nghiệp (Mẫu D02-TS); Bảng kê thông tin (Mẫu D01-TS) gửi cơ quan bảo hiểm xã hội, nơi quản lý thu bảo hiểm xã hội, bảo hiểm y tế. 2. Đối với người chỉ tham gia bảo hiểm y tế: Thực hiện cùng với thủ tục cấp thẻ bảo hiểm y tế theo hướng dẫn tại Điều 25 Quyết định số 595/QĐ-BHXH, cụ thể: - Tờ khai tham gia, điều chỉnh thông tin bảo hiểm xã hội, bảo hiểm y tế (Mẫu TK1-TS). - Đối với người đã hiến bộ phận cơ thể người: Giấy ra viện có ghi rõ ""đã hiến bộ phận cơ thể"". - Trường hợp người tham gia được hưởng quyền lợi bảo hiểm y tế cao hơn: bổ sung Giấy tờ chứng minh theo Phụ lục 03.- UBND xã; Cơ sở trợ giúp xã hội, Cơ sở nuôi dưỡng, điều dưỡng thương binh và người có khám chữa bệnh bảo hiểm y tế.công; Cơ sở giáo dục nghề nghiệp thuộc ngành Lao động - Thương binh và Xã hội; Đại lý thu/Nhà trường; Cơ quan BHXH: Danh sách người chỉ tham gia bảo hiểm y tế (Mẫu D03-TS).","Đăng ký đóng, cấp thẻ BHYT đối với người chỉ tham gia BHYT, Cấp lại, đổi, điều chỉnh thông tin trên sổ BHXH, thẻ BHYT"
"Tôi cần làm gì để được đổi nơi đăng ký khám, chữa bệnh ban đầu?","Theo Quyết định số 595/QĐ-BHXH cngày 14/4/2017 của Tổng Giám đốc Bảo hiểm xã hội Việt Nam: Ông/bà chỉ cần xuất trình thẻ bảo hiểm y tế được cấp và kê khai vào Tờ khai cung cấp và thay đổi thông tin người tham gia bảo hiểm xã hội, bảo hiểm y tế (mẫu TK1-TS)","Cấp lại, đổi, điều chỉnh thông tin trên sổ BHXH, thẻ BHYT"
"Tôi muốn khám, chữa bệnh trong thời gian tạm trú thì cần phải xuất trình những giấy tờ gì?","Khoản 1, Điều 28 Luật Bảo hiểm y tế và Khoản 7 Điều 15 Nghị định 146/2018/NĐ-CP ngày 17/10/2018 của Chính phủ quy định chi tiết và hướng dẫn biện pháp thi hành một số điều của Luật Bảo hiểm y tế quy định Ông/Bà phải xuất trình các giấy tờ sau: - Thẻ bảo hiểm y tế (Trường hợp chờ đổi/cấp lại thẻ bảo hiểm y tế Ông/Bà phải xuất trình giấy hẹn đổi/cấp lại thẻ); -Trường hợp thẻ bảo hiểm y tế chưa có ảnh thì phải xuất trình thêm giấy tờ tùy thân có ảnh do cơ quan tổ chức có thẩm quyền cấp như: Chứng minh nhân dân, giấy phép lái xe, thẻ căn cước công dân, hộ chiếu, thẻ Đảng viên; thẻ Nhà báo ... hoặc Giấy xác nhận của Công an cấp xã hoặc giấy tờ khác có xác nhận của cơ sở giáo dục nơi quản lý HSSV hoặc giấy tờ chứng minh nhân thân hợp pháp khác. - Giấy tờ chứng minh đăng ký tạm trú (trường hợp đi khám, chữa bệnh tại bệnh viện tuyến huyện thì không phải xuất trình giấy tờ này).",Khám chữa bệnh bảo hiểm y tế
Trách nhiệm của BHXH Việt Nam trong thực hiện BHYT?,"1. Tổ chức BHYT có chức năng thực hiện chế độ, chính sách, pháp luật về BHYT, quản lý và sử dụng quỹ BHYT.2. Chính phủ quy định cụ thể về tổ chức, chức năng, nhiệm vụ và quyền hạn của tổ chức BHYT.","Khám chữa bệnh bảo hiểm y tế, Ký hợp đồng khám, chữa bệnh BHYT, Thanh toán chi phí BHYT với cơ sở KCB BHYT, Đăng ký đóng, cấp thẻ BHYT đối với người chỉ tham gia BHYT, Đăng ký, điều chỉnh đóng BHXH, BHYT, BHTN, BHTNLĐ, BNN; cấp sổ BHXH, thẻ BHYT"
"Giấy chứng nhận sức khỏe của Bệnh viện bị làm giả nhiều, đối tượng làm giả rất tinh vi, sử dụng các phương tiện hiện đại như bút nhiệt…","- Nhiều SYT đã quy định rất chặt chẽ quy trình KSK, kiểm tra đối chiếu ảnh trên Giấy KSK, không được ký thay, ký khống hoặc làm giả chữ ký bác sỹ tại Giấy KSK, đăng ký chữ ký của các bác sỹ gửi về SYT, phân công nhân viên quản lý đóng dấu. Một số tỉnh quy định Bệnh viện tuyến huyện KSK cho lái xe các hạng ngoại trừ KSK cho lái xe ô tô hoạt động kinh doanh vận tải (Ninh Thuận).- Đề nghị các cơ quan có thẩm quyền tăng cường công tác thông tin tuyền truyền để người dân có ý thức hơn trong việc khám sức khỏe.- Phối hợp chặt chẽ chính quyền địa phương, Phòng Y tế, lực lượng công an trên địa bàn, phóng viên báo đài để phát hiện, ngăn chặn kịp thời và xử lý nghiêm minh theo quy định pháp luật đối với hành vi mua, bán, làm gỉa Giấy KSK.- Xây dựng giải pháp lưu trữ hồ sơ KSK cho lái xe và thực hiện báo cáo về hoạt động KSK cho lái xe theo quy định.","Công bố cơ sở đủ điều kiện thực hiện khám sức khỏe lái xe thuộc thẩm quyền Sở Y tế, Khám sức khỏe định kỳ của người lái xe ô tô, Cấp giấy khám sức khỏe cho người lái xe, Công bố cơ sở đủ điều kiện thực hiện khám sức khỏe lái xe thuộc thẩm quyền của Bộ Y tế và Bộ, ngành khác"
"Những người thuộc hộ gia đình khi tham gia BHYT thì mức đóng BHYT được giảm trừ từ thành viên thứ hai trở đi, cụ thể như thế nào?","- Người thứ nhất đóng bằng 4,5% mức lương cơ sở; - Người thứ hai đóng bằng 70% của người thứ nhất;- Người thứ ba đóng bằng 60% của người thứ nhất;- Người thứ tư đóng bằng 50% của người thứ nhất;- Từ người thứ năm trở đi đóng bằng 40% mức đóng của người thứ nhất.Việc giảm trừ mức đóng BHYT theo quy định nêu trên được thực hiện khi các thành viên tham gia BHYT theo hộ gia đình cùng tham gia trong năm tài chính.","Đăng ký đóng, cấp thẻ BHYT đối với người chỉ tham gia BHYT, Cấp thẻ bảo hiểm y tế"
Tôi có thể đăng ký khám chữa bệnh ban đầu tại cơ sở khám chữa bệnh nào?,"Khoản 1, Điều 26 Luật Bảo hiểm y tế và Điều 8 và 9 Thông tư số 40/2015/TT-BYT của Bộ Y tế quy định người tham gia bảo hiểm y tế được đăng ký khám chữa bệnh ban đầu tại các cơ sở khám chữa bệnh sau: - Cơ sở khám, chữa bệnh ban đầu tuyến xã, tuyến huyện và tương đương; không phân biệt địa giới hành chính, phù hợp với nơi làm việc, nơi cư trú và khả năng đáp ứng của cơ sở khám, chữa bệnh. - Cơ sở khám, chữa bệnh ban đầu tuyến tỉnh, tuyến trung ương và tương đương:1. Đăng ký khám, chữa bệnh ban đầu tại cơ sở khám, chữa bệnh tuyến tỉnh, tuyến trung ương (trừ Phòng khám BBVCBSK tỉnh) trong các trường hợp sau đây: - Người thường trú, tạm trú có thời hạn hoặc làm việc trên địa bàn quận, huyện, thị xã, thành phố thuộc tỉnh không có cơ sở khám, chữa bệnh tuyến xã, tuyến huyện hoặc các cơ sở đó không đáp ứng được việc khám, chữa bệnh ban đầu theo quy định của Giám đốc Sở Y tế sau khi có sự thống nhất bằng văn bản của Giám đốc Bảo hiểm xã hội tỉnh hoặc do Giám đốc Sở Y tế sau khi có sự thống nhất bằng văn bản của Giám đốc Bảo hiểm xã hội tỉnh; 2. Đối với các đối tượng đặc biệt: - Đối tượng thuộc diện được quản lý, bảo vệ sức khoẻ theo Hướng dẫn số 52 HD/BTCTW của Ban Tổ chức Trung ương Đảng được đăng ký khám, chữa bệnh ban đầu tại Bệnh viện Hữu Nghị, Bệnh viện C Đà Nẵng, Bệnh viện Thống Nhất trực thuộc Bộ Y tế hoặc cơ sở khám, chữa bệnhtuyến tỉnh (trừ Bệnh viện Nhi, Sản Nhi) và cơ sở khám, chữa bệnh tuyến trung ương khác; - Đối tượng thuộc diện được quản lý, bảo vệ sức khỏe cán bộ của tỉnh, thành phố được đăng ký khám, chữa bệnh ban đầu tại Phòng khám thuộc Ban BVCSSKCB tỉnh hoặc cơ sở khám, chữa bệnhtuyến tỉnh (trừ Bệnh viện Nhi, Sản Nhi); - Người có công với cách mạng, người từ đủ 80 tuổi trở lên được đăng ký khám, chữa bệnh ban đầu tại cơ sở khám, chữa bệnh tuyến tỉnh (trừ Bệnh viện Nhi, Sản nhi, Phòng khám Ban BVCSSKCB tỉnh, Bệnh viện Hữu Nghị, Bệnh viện C Đà Nẵng, Bệnh viện Thống Nhất Tp. Hồ Chí Minh); - Trẻ em dưới 6 tuổi được đăng ký khám, chữa bệnh ban đầu tại Bệnh viện đa khoa tỉnh, Bệnh viện đa khoa hạng I, II thuộc Bộ ngành; - Người công tác trong quân đội khi nghỉ hưu được đăng ký khám, chữa bệnh ban đầu tại các cơ sở khám, chữa bệnh thuộc Bộ Quốc phòng quản lý và theo quy định của Bộ Quốc phòng. 3. Người tham gia bảo hiểm y tế đang sinh sống tại xã đảo, huyện đảo được đăng ký khám, chữa bệnh ban đầu tại một cơ sở khám, chữa bệnh thuận lợi nhất trên đất liền nếu trên các xã đảo, huyện đảo không có cơ sở khám, chữa bệnh tuyến xã, huyện, tỉnh, trung ương.","Đăng ký đóng, cấp thẻ BHYT đối với người chỉ tham gia BHYT, Cấp lại, đổi, điều chỉnh thông tin trên sổ BHXH, thẻ BHYT"
"Khi nào tôi được đổi nơi đăng ký khám, chữa bệnh ban đầu?","Khoản 2, Điều 26 Luật Bảo hiểm y tế quy định: Người tham gia bảo hiểm y tế được thay đổi cơ sở khám, chữa bệnh ban đầu vào đầu mỗi quý.","Cấp lại, đổi, điều chỉnh thông tin trên sổ BHXH, thẻ BHYT"
