Câu hỏi,Trả lời,Thủ tục liên quan
Cơ quan nào thực hiện việc đăng ký nuôi con nuôi nước ngoài?,"Theo quy định tại Điều 9 của Luật nuôi con nuôi, thẩm quyền đăng ký việc nuôi con nuôi giữa công dân Việt Nam với người nước ngoài thuộc Ủy ban nhân dân cấp tỉnh. Cụ thể: Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương (gọi chung là Ủy ban nhân dân cấp tỉnh) nơi thường trú của người được giới thiệu làm con nuôi quyết định việc nuôi con nuôi có yếu tố nước ngoài. Nếu trẻ em ở cơ sở nuôi dưỡng thì Ủy ban nhân dân cấp tỉnh nơi có trụ sở của cơ sở nuôi dưỡng quyết định việc nuôi con nuôi có yếu tố nước ngoài. Sở Tư pháp tỉnh, thành phố trực thuộc trung ương đăng ký việc nuôi con nuôi có yếu tố nước ngoài.","Thủ tục Đăng ký việc nuôi con nuôi tại Cơ quan đại diện Việt Nam ở nước ngoài, Giải quyết việc nuôi con nuôi có yếu tố nước ngoài đối với trường hợp cha dượng, mẹ kế nhận con riêng của vợ hoặc chồng; cô, cậu, dì, chú, bác ruột nhận cháu làm con nuôi"
"Tôi có người em bị tâm thần nhẹ, nay em tôi chuẩn bị lấy chồng. Vậy em tôi có được đăng ký kết hôn theo quy định hay không?","Theo quy định tại Khoản 1 Điều 22 Bộ luật Dân sự năm 2015 thì một người chỉ bị coi là mất năng lực hành vi dân sự khi bị Tòa án ra quyết định tuyên bố mất năng lực hành vi dân sự trên cơ sở kết luận giám định pháp y tâm thần. Như vậy, trường hợp một người đã được Bệnh viện xác nhận bị thiểu năng tâm thần, nhưng chưa có quyết định của Tòa án tuyên bố mất năng lực hành vi dân sự thì chưa bị coi là mất năng lực hành vi dân sự, người đó vẫn có quyền làm thủ tục đăng ký kết hôn nếu đủ các điều kiện khác theo quy định của Điều 8 Luật Hôn nhân và gia đình năm 2014.","Thủ tục đăng ký kết hôn có yếu tố nước ngoài tại khu vực biên giới, Thủ tục đăng ký kết hôn lưu động, Thủ tục đăng ký kết hôn, Thủ tục đăng ký kết hôn có yếu tố nước ngoài"
"Tôi có vợ và hai con. Tôi có quan hệ tình cảm ngoài luồng với một cô khác và sinh được bé trai. Vậy, nay tôi muốn nhận con tôi thì tôi có cần sự xác nhận hay văn bản đồng ý gì từ phía vợ của tôi không?","Khoản 2 Điều 90 của Luật Hôn nhân và gia đình quy định: “Trong trường hợp người đang có vợ, chồng mà nhận con thì việc nhận con không cần phải có sự đồng ý của người kia”. Như vậy, có thể hiểu quyền nhận con của anh không bị giới hạn trong trường hợp anh đang có vợ.","Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài tại khu vực biên giới, Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con, Thủ tục đăng ký nhận cha, mẹ, con, Thủ tục ghi vào Sổ hộ tịch việc hộ tịch khác của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài (khai sinh; giám hộ; nhận cha, mẹ, con; xác định cha, mẹ, con; nuôi con nuôi; khai tử; thay đổi hộ tịch), Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài"
"Tôi sinh vào thời kỳ kháng chiến chống Pháp, tôi được cấp giấy tờ khai sinh tại thời điểm đó nhưng trong đó không có mục quê quán. Nay tôi muốn bổ sung phần quê quán nơi tôi sinh ra và lớn lên là tỉnh Quảng Ngãi vào giấy khai sinh có được không?","Theo quy định tại khoản 13 Điều 4 Luật hộ tịch thì: Bổ sung hộ tịch là việc cơ quan nhà nước có thẩm quyền cập nhật thông tin hộ tịch còn thiếu cho cá nhân đã được đăng ký. Trường hợp biểu mẫu bản chính Giấy khai sinh được cấp trước đây không có mục ghi về quê quán, nay người dân có yêu cầu bổ sung thông tin về quê quán vào Giấy khai sinh, thì để tạo điều kiện thuận lợi cho người dân, cơ quan đăng ký hộ tịch có thể tiếp nhận, giải quyết, thông tin về quê quán được ghi vào mặt sau của Giấy khai sinh và phần ghi chú trong Sổ đăng ký khai sinh, sau đó cấp bản sao Trích lục khai sinh với các thông tin đã được bổ sung cho người yêu cầu. Do đó, yêu cầu của anh (chị) được thực hiện theo quy định pháp luật hộ tịch.","Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc có yếu tố nước ngoài"
Đối tượng nào được nhận làm con nuôi?,"Theo quy định tại Điều 8 của Luật Nuôi con nuôi, người được nhận làm con nuôi là trẻ em dưới 16 tuổi. Ngoài ra, người từ đủ 16 tuổi đến dưới 18 tuổi cũng được nhận làm con nuôi nếu được cha dượng hoặc mẹ kế nhận làm con nuôi hoặc được cô, cậu, dì, chú, bác ruột nhận làm con nuôi.","Thủ tục Đăng ký việc nuôi con nuôi thực tế, Giải quyết việc người nước ngoài cư trú ở khu vực biên giới nước láng giềng nhận trẻ em Việt Nam làm con nuôi, Đăng ký lại việc nuôi con nuôi trong nước, Đăng ký việc nuôi con nuôi trong nước, Giải quyết việc người nước ngoài thường trú ở Việt Nam nhận trẻ em Việt Nam làm con nuôi"
"Trẻ em đã được xác nhận đủ điều kiện làm con nuôi ở nước ngoài, nếu có công dân Việt Nam thường trú ở trong nước nhận trẻ em làm con nuôi thì có giải quyết hay không?","Khoản 1 Điều 36 Luật nuôi con nuôi quy định, trước khi Sở Tư pháp xem xét, giới thiệu trẻ em làm con nuôi, nếu có người trong nước nhận trẻ em làm con nuôi thì người đó liên hệ với Ủy ban nhân dân cấp xã nơi có trụ sở của cơ sở nuôi dưỡng mà trẻ em đang sinh sống để xem xét, giải quyết, nếu việc nhận con nuôi đã hoàn thành thì Ủy ban nhân dân cấp xã báo cáo Sở Tư pháp để chấm dứt việc giới thiệu trẻ em làm con nuôi nước ngoài. Do đó, nếu trẻ em đã được xác nhận đủ điều kiện làm con nuôi ở nước ngoài nhưng Sở Tư pháp chưa thực hiện thủ tục giới thiệu làm con nuôi nước ngoài thì trẻ em đó vẫn có cơ hội làm con nuôi trong nước nếu có công dân Việt Nam thường trú ở trong nước có nguyện vọng nhận nuôi.",Đăng ký việc nuôi con nuôi trong nước
Trường hợp nhận đích danh trẻ em Việt Nam làm con nuôi được quy định như thế nào?,"Theo quy định tại khoản 2 Điều 28 Luật nuôi con nuôi, trường hợp người nước ngoài thường trú ở nước ngoài hoặc người Việt Nam định cư ở nước ngoài được nhận con nuôi đích danh trong các trường hợp sau:- Là cha dượng, mẹ kế của người được nhận làm con nuôi; - Là cô, cậu, dì, chú, bác ruột của người được nhận làm con nuôi; - Có con nuôi là anh, chị em ruột của trẻ em được nhận làm con nuôi; - Nhận trẻ em khuyết tật, nhiễm HIV/AIDS hoặc mắc bệnh hiểm nghèo khác làm con nuôi; - Là người nước ngoài đang làm việc, học tập ở Việt Nam trong thời gian ít nhất là 01 năm.","Giải quyết việc người nước ngoài cư trú ở khu vực biên giới nước láng giềng nhận trẻ em Việt Nam làm con nuôi, Giải quyết việc người nước ngoài thường trú ở Việt Nam nhận trẻ em Việt Nam làm con nuôi, Giải quyết việc nuôi con nuôi có yếu tố nước ngoài đối với trường hợp cha dượng, mẹ kế nhận con riêng của vợ hoặc chồng; cô, cậu, dì, chú, bác ruột nhận cháu làm con nuôi"
Tôi hiện đang cư trú tại thành phố Hà Nội. Tôi có quan hệ tình cảm với một chị và đã sinh được một bé trai. Do chúng tôi chưa đăng ký kết hôn và hiện tôi cũng đang có gia đình riêng. Vậy nay tôi muốn nhận con mình để nhập vào hộ khẩu nhà tôi thì cơ quan có thẩm quyền xác nhận quan hệ cho bố con tôi là cơ quan nào ạ? Tôi phải chuẩn bị những giấy tờ gì?,"Theo quy định tại Điều 3, Điều 7 Luật hộ tịch thì UBND cấp xã nơi anh cư trú hoặc con của anh cư trú có thẩm quyền thực hiện đăng ký nhận cha, con cho anh.Khi thực hiện thủ tục nhận cha, con, anh phải nộp tờ khai theo mẫu quy định tại Thông tư số 15/2015/TT-BTP ngày 16/11/2015 của Bộ Tư pháp quy định chi tiết thi hành một số điều của Luật hộ tịch và Nghị định số 123/2015/NĐ-CP; các chứng cứ chứng minh quan hệ cha con của anh cho cơ quan đăng ký hộ tịch. Khi đăng ký nhận cha, con thì anh và con anh phải có mặt.","Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài tại khu vực biên giới, Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con, Thủ tục đăng ký nhận cha, mẹ, con, Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài, Thủ tục đăng ký nhận cha, mẹ, con có yếu tố nước ngoài"
"Tôi là công dân Việt Nam, có quốc tịch Việt Nam, đồng thời tôi cũng có quốc tịch Mỹ. Tôi có kết hôn với một chị là công dân Việt Nam và có xuất trình các giấy tờ mà tôi có mang quốc tịch Việt Nam khi đăng ký kết hôn tại cơ quan nhà nước Việt Nam. Hiện nay, tôi muốn đến xin bổ sung thêm thông tin về quốc tịch Hoa Kỳ. Vậy tôi xin hỏi yêu cầu của tôi có được thực hiện hay không?","Theo quy định tại khoản 13 Điều 4 Luật hộ tịch, bổ sung hộ tịch là việc cơ quan nhà nước có thẩm quyền cập nhật thông tin hộ tịch còn thiếu cho cá nhân đã được đăng ký. Trường hợp các thông tin về quốc tịch, nơi cư trú của anh đã được xác định và ghi trong Giấy chứng nhận kết hôn theo hồ sơ đăng ký kết hôn thì không được thực hiện thủ tục bổ sung hộ tịch.","Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc có yếu tố nước ngoài, Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc"
"Năm 2011, bà Mai đã có giấy đồng ý (viết tay) cho con đẻ của mình làm con nuôi của anh chị Ba nhưng việc nuôi con nuôi không được đăng ký tại cơ quan có thẩm quyền. Bà Mai và anh chị Ba cùng thường trú tại xã X. Đến năm 2016, anh chị Ba mới tiến hành thủ tục đăng ký việc nuôi con nuôi. Tuy nhiên, vào thời điểm đăng ký việc nuôi con nuôi, công chức tư pháp-hộ tịch không thể lấy ý kiến đồng ý của bà Mai về việc cho con làm con nuôi vì bà Mai đi làm ăn xa, người thân trong gia đình của bà không biết bà đang ở đâu. Trong trường hợp này, có thể miễn thủ tục lấy ý kiến của bà Mai không ?","Điều 21 của Luật nuôi con nuôi quy định việc nhận nuôi con nuôi phải được sự đồng ý của cha, mẹ đẻ của người được nhận làm con nuôi, bảo đảm những người liên quan được UBND cấp xã tư vấn đầy đủ về mục đích nuôi con nuôi; quyền, nghĩa vụ giữa cha mẹ nuôi và con nuôi; quyền và nghĩa vụ giữa cha mẹ đẻ và con sau khi người đó được nhận làm con nuôi. Vì vậy, việc cha đẻ, mẹ đẻ viết giấy đồng ý (hoặc thỏa thuận) cho con đẻ làm con nuôi khi không được cơ quan có thẩm quyền tư vấn và hỏi ý kiến là một thực tế trái quy định của pháp luật, cần phải được nghiêm túc chấn chỉnh.Trong trường hợp này, mặc dù mẹ đẻ đã có ý kiến đồng ý cho con làm con nuôi nhưng không theo đúng thủ tục lấy ý kiến của những người liên quan theo quy định tại Điều 20 của Luật nuôi con nuôi và Điều 9 của Nghị định số 19/2011/NĐ-CP. Vì vậy, UBND cấp xã cần tiếp tục liên lạc với bà Mai, có thể nhờ người thân của bà Mai hỗ trợ để lấy ý kiến của bà Mai về việc cho con đẻ làm con nuôi.","Thủ tục Đăng ký việc nuôi con nuôi thực tế, Đăng ký việc nuôi con nuôi trong nước, Giải quyết việc người nước ngoài thường trú ở Việt Nam nhận trẻ em Việt Nam làm con nuôi, Thủ tục Đăng ký việc nuôi con nuôi tại Cơ quan đại diện Việt Nam ở nước ngoài, Giải quyết việc nuôi con nuôi có yếu tố nước ngoài đối với trường hợp cha dượng, mẹ kế nhận con riêng của vợ hoặc chồng; cô, cậu, dì, chú, bác ruột nhận cháu làm con nuôi"
"Vào năm 1998, trẻ em Nguyễn Văn A được ông Hoàng Văn X nhận làm con nuôi. Sau khi việc nuôi con nuôi được hoàn tất theo quy định pháp luật, ông X đã tiến hành thủ tục thay đổi họ của con nuôi từ họ “Nguyễn” sang họ “Hoàng”. Hiện nay, anh Hoàng Văn A (đã 20 tuổi) vẫn là con nuôi của ông Hoàng Văn X nhưng anh A muốn thay đổi họ từ “Hoàng” sang “Nguyễn” (lấy lại họ theo họ của bố đẻ) có được không?","Do quan hệ nuôi con nuôi giữa anh A và ông X vẫn đang tồn tại nên không có cơ sở pháp lý để thực hiện thay đổi họ của anh A. Theo quy định tại khoản 5 Điều 27 của Luật nuôi con nuôi, sau khi việc nuôi con nuôi bị chấm dứt thì việc thay đổi họ (cũng như tên) của con nuôi mới có thể thực hiện được. Do đó, anh Hoàng Văn A chỉ có thể thay đổi họ từ “Hoàng” (họ của cha nuôi) sang họ “Nguyễn” (họ của cha đẻ) khi việc nuôi con nuôi bị chấm dứt theo quyết định của Tòa án nhân dân có thẩm quyền nếu có căn cứ chấm dứt theo quy định tại Điều 25 của Luật nuôi con nuôi.","Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc có yếu tố nước ngoài, Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc"
"Tôi muốn lấy vợ cùng xã thì tôi phải làm thế nào, chuẩn bị những giấy tờ gì?","Khi làm thủ tục đăng ký kết hôn anh, chị cần phải nộp tờ khai đăng ký kết hôn theo mẫu (Thông tư số 05/2015/TT-BTP ngày 16/11/2015 của Bộ Tư pháp quy định chi tiết thi hành một số điều của Luật hộ tịch và Nghị định số 123/2015/NĐ-CP ngày 15/11/2015 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật hộ tịch; xuất trình Hộ chiếu hoặc chứng minh nhân dân hoặc thẻ căn cước công dân hoặc các giấy tờ khác có dán ảnh và thông tin cá nhân do cơ quan có thẩm quyền cấp, còn giá trị sử dụng để chứng minh về nhân thân của anh, chị . Đồng thời, anh, chị phải trực tiếp cùng có mặt khi đăng ký kết hôn và ký tên vào Sổ hộ tịch.","Thủ tục đăng ký kết hôn có yếu tố nước ngoài tại khu vực biên giới, Thủ tục đăng ký kết hôn lưu động, Thủ tục đăng ký kết hôn, Thủ tục đăng ký kết hôn có yếu tố nước ngoài"
"Ông, bà có được nhận cháu làm con nuôi hay không? hoặc anh, chị, em có được nhận nhau làm con nuôi hay không?","Theo quy định tại Điều 13 của Luật Nuôi con nuôi, việc ông, bà nhận cháu làm con nuôi hoặc anh, chị, em nhận nhau làm con nuôi là những hành vi bị cấm. Do đó, ông, bà không được nhận cháu làm con nuôi hoặc anh, chị, em không được nhận nhau làm con nuôi.","Thủ tục Đăng ký việc nuôi con nuôi thực tế, Giải quyết việc người nước ngoài cư trú ở khu vực biên giới nước láng giềng nhận trẻ em Việt Nam làm con nuôi, Đăng ký việc nuôi con nuôi trong nước, Giải quyết việc người nước ngoài thường trú ở Việt Nam nhận trẻ em Việt Nam làm con nuôi, Thủ tục Đăng ký việc nuôi con nuôi tại Cơ quan đại diện Việt Nam ở nước ngoài"
Hai người cùng giới tính chung sống với nhau như vợ chồng có được cùng nhau nhận con nuôi hay không?,"Khoản 3 Điều 8 Luật Nuôi con nuôi quy định, người nhận con nuôi là người độc thân hoặc cả hai người là vợ chồng. Khoản 2 Điều 8 Luật Hôn nhân và gia đình 2014 quy định, Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính. Do đó, hai người cùng giới tính không được cùng nhau nhận con nuôi.","Thủ tục Đăng ký việc nuôi con nuôi thực tế, Giải quyết việc người nước ngoài cư trú ở khu vực biên giới nước láng giềng nhận trẻ em Việt Nam làm con nuôi, Đăng ký việc nuôi con nuôi trong nước, Giải quyết việc người nước ngoài thường trú ở Việt Nam nhận trẻ em Việt Nam làm con nuôi, Thủ tục Đăng ký việc nuôi con nuôi tại Cơ quan đại diện Việt Nam ở nước ngoài"
