Câu hỏi,Trả lời,Thủ tục liên quan
"Việc cấp lại Chứng minh nhân dân đối với trường hợp mất hồ sơ Chứng minh nhân dân do thất lạc, hỏa hoạn, bão lụt, thiên tai được quy định như thế nào?","Trường hợp còn Chứng minh nhân dân cũ nguyên vẹn, số Chứng minh nhân dân và các thông tin trên Chứng minh nhân dân còn rõ thì làm các thủ tục cấp Chứng minh nhân dân và sử dụng số Chứng minh nhân dân cũ. Trường hợp mất Chứng minh nhân dân hoặc còn Chứng minh nhân dân nhưng bị rách nát, không rõ thông tin mà số Chứng minh nhân dân này đã được ghi rõ trong các loại giấy tờ khác như sổ đỏ, sổ bảo hiểm xã hội, hộ chiếu… mà có giá trị pháp lý và công dân vẫn đang giao dịch thì vẫn giữ nguyên số đó cấp cho công dân. Trường hợp trong các loại giấy tờ pháp lý không thể hiện số Chứng minh nhân dân cũ thì cấp số mới cho công dân.","Cấp lại Chứng minh nhân dân (9 số) thực hiện tại cấp tỉnh, Cấp lại Chứng minh nhân dân (9 số) thực hiện tại cấp huyện"
Công dân phải làm thủ tục đổi chứng minh nhân dân khi nào?,"Điểm a, mục 2 phần II Thông tư số 04/1999/TT-BCA(C13) ngày 29/4/1999 của Bộ Công an hướng dẫn một số quy định của Nghị định số 05/1999/NĐ-CP ngày 03/01/1999 của Chính phủ về Chứng minh nhân dân quy định các trường hợp phải đổi CMND như sau:- Quá thời hạn sử dụng 15 năm kể từ ngày cấp;- CMND rách, nát, không rõ ảnh hoặc một trong các thông tin đã ghi trên CMND;- Thay đổi họ, tên, chữ đệm, ngày, tháng, năm sinh. Những thay đổi này phải có quyết định của cơ quan có thẩm quyền;- Những người đã được cấp giấy CMND nhưng chuyển nơi đăng ký hộ khẩu thường trú ngoài phạm vi tỉnh, thành phố trực thuộc Trung ương. Trường hợp chuyển nơi thường trú trong phạm vi tỉnh, thành phố mà công dân có yêu cầu thì được đổi lại CMND;- Thay đổi đặc điểm nhận dạng là những trường hợp đã qua phẫu thuật thẩm mỹ, chỉnh hình hoặc vì lý do khác đã làm thay đổi hình ảnh hoặc đặc điểm nhận dạng của họ.","Đổi Chứng minh nhân dân (9 số) thực hiện tại cấp huyện, Đổi Chứng minh nhân dân (9 số) thực hiện tại cấp tỉnh"
Hộ chiếu có được sử dụng thay thế chứng minh nhân dân không?,Hộ chiếu được sử dụng thay thế chứng minh nhân dân hoặc căn cước công dân.,"Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp tỉnh), Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp trung ương)"
Khi nào công dân được cấp lại Chứng minh nhân dân?,"Điểm b, mục 2 phần II Thông tư số 04/1999/TT-BCA(C13) ngày 29/4/1999 của Bộ Công an hướng dẫn một số quy định của Nghị định số 05/1999/NĐ-CP ngày 03/01/1999 của Chính phủ về Chứng minh nhân dân quy định công dân được cấp lại CMND khi bị mất.",Cấp lại Chứng minh nhân dân (9 số) thực hiện tại cấp huyện
Đối tượng nào được cấp thẻ Căn cước công dân?,Điều 18 Nghị định số 137/2015/NĐ-CP ngày 31/12/2015 của Chính phủ quy định: Công dân Việt Nam từ đủ 14 tuổi trở lên đã đăng ký thường trú được cấp thẻ Căn cước công dân.,"Cấp thẻ căn cước cho người từ đủ 14 tuổi trở lên (thực hiện tại cấp tỉnh), Cấp thẻ Căn cước công dân khi chưa có thông tin trong Cơ sở dữ liệu quốc gia về dân cư (thực hiện tại cấp huyện), Cấp thẻ căn cước cho người từ đủ 14 tuổi trở lên (thực hiện tại cấp huyện), Cấp thẻ Căn cước công dân khi chưa có thông tin trong Cơ sở dữ liệu quốc gia về dân cư (thực hiện tại cấp tỉnh)"
"Trình tự, thủ tục cấp đổi, cấp lại thẻ Căn cước công dân được quy định như thế nào?","Trình tự, thủ tục đổi, cấp lại thẻ Căn cước công dân quy định tại Điều 24 Luật Căn cước công dân và tại Điều 13 Thông tư số 07/2016/TT-BCA ngày 01/02/2016 của Bộ Công an như sau:- Thực hiện các thủ tục theo các bước như quy định đối với trường hợp cấp thẻ Căn cước công dân;- Đối với các trường hợp đổi thẻ Căn cước công dân do thay đổi thông tin như thay đổi họ, chữ đệm và tên, đặc điểm nhân dạng, xác định lại giới tính, quê quán, có sai sót về thông tin trên thẻ Căn cước công dân mà chưa có thông tin trong Cơ sở dữ liệu căn cước công dân thì công dân nộp bản sao văn bản của cơ quan có thẩm quyền về việc thay đổi các thông tin như quyết định thay đổi, họ, chữ đêm, tên; quê quán... của cơ quan tư pháp có thẩm quyền (khoản 2 Điều 24 Luật Căn cước công dân). Trường hợp đổi thẻ Căn cước công dân do thay đổi thông tin như thay đổi họ, tên, chữ đệm; nơi thường trú cấp tỉnh; đặc điểm nhân dạng; xác định lại dân tộc, giới tính, quê quán các nội dung này ghi trên thẻ Căn cước công dân mà thông tin đó chưa có hoặc chưa được cập nhật vào Cơ sở dữ liệu quốc gia về dân cư thì công dân nộp bản sao văn bản của cơ quan có thẩm quyền về việc thay đổi các thông tin này (khoản 2 Điều 13 Thông tư số 07/2016/TT-BCA ngày 01/02/2016 của Bộ Công an).- Thu lại thẻ Căn cước công dân đã sử dụng trong trường hợp công dân làm thủ tục đổi thẻ Căn cước công dân (khoản 3 Điều 24 Luật Căn cước công dân);- Công dân nộp lệ phí đổi, cấp lại thẻ Căn cước công dân trong các trường hợp thẻ bị hư hỏng không sử dụng được; thay đổi họ, chữ đệm và tên, đặc điểm nhân dạng; xác định lại giới tính, quê quán; bị mất thẻ Căn cước công dân; được trở lại quốc tịch Việt Nam theo quy định của Luật quốc tịch (khoản 2 Điều 13 Thông tư số 07/2016/TT-BCA ngày 01/02/2016 của Bộ Công an).","Cấp lại thẻ căn cước (thực hiện tại cấp trung ương), Cấp lại thẻ căn cước (thực hiện tại cấp huyện), Cấp đổi thẻ căn cước (thực hiện tại cấp huyện), Cấp đổi thẻ căn cước (thực hiện tại cấp trung ương), Cấp lại thẻ căn cước (thực hiện tại cấp tỉnh)"
"Thẩm quyền cấp, đổi, cấp lại thẻ Căn cước công dân thuộc về ai?","Theo quy định tại Điều 27 Luật Căn cước công dân thì Thủ trưởng cơ quan quản lý căn cước công dân của Bộ Công an có thẩm quyền cấp, đổi, cấp lại thẻ Căn cước công dân (Cục trưởng Cục Cảnh sát quản lý hành chính về trật tự xã hội).","Cấp lại thẻ căn cước (thực hiện tại cấp trung ương), Cấp đổi thẻ căn cước (thực hiện tại cấp trung ương)"
Điều kiện để được cấp hộ chiếu phổ thông là gì?,"Theo quy định của Nghị định 136/2007/NĐ-CP: Hộ chiếu phổ thông được cấp cho mọi công dân Việt Nam, trừ trường hợp đang thuộc diện chưa được xuất cảnh.","Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp tỉnh), Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp trung ương)"
Lệ phí cấp hộ chiếu là bao nhiêu?,"Theo quy định của Bộ Tài chính, lệ phí cấp hộ chiếu là 200.000đ. Đối với trường hợp cấp lại hộ chiếu do mất hoặc hư hỏng, lệ phí là 400.000đ","Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp tỉnh), Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp trung ương)"
Tôi cấp hộ chiếu lần đầu có được nộp hồ sơ tại Cục Quản lý xuất nhập cảnh không?,"Người đề nghị cấp hộ chiếu mới (cấp lần đầu, cấp lại khi hộ chiếu hết hạn) nộp hồ sơ tại Phòng Quản lý xuất nhập cảnh Công an tỉnh, thành phố trực thuộc Trung ương nơi thường trú hoặc tạm trú dài hạn.",Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp trung ương)
