Câu hỏi,Trả lời,Thủ tục liên quan
"Quy định đối với thuyền viên, nhân viên phục vụ và hành khách trên phương tiện vận tải thủy qua biên giới Việt Nam - Campuchia?","Căn cứ Điều 5 Thông tư 08/2012/TT-BGTVT hướng dẫn Hiệp định về vận tải thủy giữa Việt Nam - Campuchia do Bộ GTVT ban hành,quy định đối với thuyền viên, nhân viên phục vụ và hành khách gồm:1. Thuyền viên qua lại biên giới phải mang theo các giấy tờ hợp lệ còn hiệu lực sau:a) Hộ chiếu hoặc hộ chiếu thuyền viên hoặc các loại giấy tờ có giá trị thay hộ chiếu theo luật và quy định có hiệu lực do cơ quan có thẩm quyền cấp;b) Bằng, chứng chỉ chuyên môn phù hợp.2. Đối với hành khách và nhân viên phục vụ phải xuất trình hộ chiếu hoặc giấy tờ có giá trị thay hộ chiếu do cơ quan có thẩm quyền cấp.3. Hộ chiếu thuyền viên do Cục Hàng hải Việt Nam cấp theo các quy định hiện hành về hộ chiếu thuyền viên.","Mở khóa đào tạo bồi dưỡng nghiệp vụ và cấp Giấy chứng nhận khả năng chuyên môn sỹ quan, thuyền trưởng, máy trưởng, Cấp, cấp lại, chuyển đổi giấy chứng nhận khả năng chuyên môn, chứng chỉ chuyên môn, Dự học,thi, kiểm tra để được cấp giấy chứng nhận khả năng chuyên môn, chứng chỉ chuyên môn, Cấp, cấp lại, chuyển đổi Giấy chứng nhận khả năng chuyên môn thuyền trưởng, máy trưởng hạng nhất, hạng nhì trong phạm vi toàn quốc; Giấy chứng nhận khả năng chuyên môn thuyền trưởng từ hạng tư trở lên, máy trưởng từ hạng ba trở lên đối với các cơ sở dạy nghề trực thuộc Cục Đường thủy nội địa và chứng chỉ chuyên môn đặc biệt, Dự thi lấy Giấy chứng nhận khả năng chuyên môn thuyền trưởng, máy trưởng hạng nhất, hạng nhì trong phạm vi toàn quốc; Giấy chứng nhận khả năng chuyên môn thuyền trưởng từ hạng tư trở lên, máy trưởng từ hạng ba trở lên đối với các cơ sở dạy nghề trực thuộc Cục Đường thủy nội địa và dự kiểm tra lấy chứng chỉ chuyên môn đặc biệt"
"Trường hợp nào thì không phải thông qua Hội đồng kiểm tra, sát hạch khi tiếp nhận vào công chức đối với các trường hợp đặc biệt (không phải thành lập Hội đồng kiểm tra, sát hạch).","Các trường hợp sau đây khi tiếp nhận vào công chức theo trường hợp đặc biệt thì không phải thành lập Hội đồng kiểm tra, sát hạch: Đã là cán bộ, công chức từ cấp huyện trở lên sau đó được cấp có thẩm quyền điều động, luân chuyển đến làm việc tại đơn vị sự nghiệp công lập, lực lượng vũ trang, cơ yếu, tổ chức chính trị - xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp hoặc được bổ nhiệm giữ chức danh, chức vụ tại doanh nghiệp là công ty trách nhiệm hữu hạn một thành viên mà Nhà nước nắm giữ 100% vốn điều lệ hoặc được cử làm người đại diện phần vốn nhà nước giữ chức danh quản lý tại doanh nghiệp mà Nhà nước nắm giữ trên 50% vốn điều lệ.",Thủ tục tiếp nhận vào làm công chức
"Điều kiện đối với doanh nghiệp, cơ sở kinh doanh trong lĩnh vực tư vấn thiết kế về PCCC là gì?","Theo quy định tại Điều 41, Nghị định số 79/2014/NĐ-CP, ngày 31/7/2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Phòng cháy và chữa cháy và Luật sửa đổi, bổ sung một số điều của Luật Phòng cháy và chữa cháy:Doanh nghiệp, cơ sở hành nghề kinh doanh dịch vụ PCCC với nội dung tư vấn thiết kế về PCCC phải bảo đảm các điều kiện sau:- Người đứng đầu doanh nghiệp và người đại diện theo pháp luật của cơ sở phải có văn bằng về PCCC hoặc chứng chỉ bồi dưỡng kiến thức về PCCC;- Doanh nghiệp, cơ sở phải có cá nhân đủ điều kiện hành nghề dịch vụ PCCC, cụ thể:+ Có ít nhất 01 cá nhân có chứng chỉ hành nghề tư vấn thiết kế về PCCC;+ Có ít nhất 01 cá nhân đảm nhiệm chức danh chủ trì thiết kế về PCCC;- Có địa điểm hoạt động; phương tiện, thiết bị, địa điểm bảo đảm thực hiện tư vấn thiết kế về PCCC.",Cấp chứng chỉ hành nghề tư vấn về phòng cháy và chữa cháy
Đề nghị cơ quan cho biết thủ tục cấp lại chứng chỉ hành nghề tư vấn về PCCC khi chứng chỉ hết thời hạn sử dụng hoặc bị mất; đổi chứng chỉ khi bị hỏng hoặc cá nhân đề nghị bổ sung nội dung hành nghề tư vấn mới?,"Theo quy định tại Khoản 3, Điều 20, Thông tư số 66/2014/TT-BCA, ngày 16/12/2014 của Bộ Công an quy định chi tiết thi hành một số điều của Nghị định số 79/2014/NĐ-CP ngày 31/7/2014 của Chính phủ:Thủ tục cấp lại chứng chỉ hành nghề tư vấn về PCCC khi chứng chỉ hết thời hạn sử dụng hoặc bị mất; đổi chứng chỉ khi bị hỏng hoặc cá nhân đề nghị bổ sung nội dung hành nghề tư vấn mới, cụ thể:- Trường hợp cấp lại chứng chỉ hành nghề tư vấn, cá nhân phải làm đơn đề nghị cấp lại gửi cơ quan Cảnh sát PCCC đã cấp trước đó (mẫu số PC23 ban hành kèm theo Thông tư số 66/2014/TT-BCA ngày 16/12/2014 của Bộ Công an);- Trường hợp đổi chứng chỉ hành nghề tư vấn do bị hỏng, cá nhân phải nộp hồ sơ gồm:+ Đơn đề nghị cấp đổi chứng chỉ hành nghề tư vấn về PCCC (mẫu số PC23 ban hành kèm theo Thông tư số 66/2014/TT-BCA ngày 16/12/2014 của Bộ Công an);+ Chứng chỉ cũ đã cấp.- Trường hợp đổi chứng chỉ hành nghề tư vấn khi bổ sung nội dung hành nghề tư vấn mới, cá nhân phải nộp hồ sơ, gồm: + Đơn đề nghị cấp đổi chứng chỉ hành nghề tư vấn về PCCC (mẫu số PC23 ban hành kèm theo Thông tư số 66/2014/TT-BCA ngày 16/12/2014 của Bộ Công an);+ Bản sao có chứng thực hoặc bản sao kèm theo bản chính để đối chiếu văn bằng, chứng chỉ có liên quan đến nội dung đề nghị đổi chứng chỉ hành nghề tư vấn.","Bổ sung chứng chỉ hành nghề tư vấn về phòng cháy và chữa cháy, Cấp đổi chứng chỉ hành nghề tư vấn về phòng cháy và chữa cháy, Cấp lại chứng chỉ hành nghề tư vấn về phòng cháy và chữa cháy"
"Tôi có chứng chứng chỉ thuyền trưởng, máy trưởng tàu cá hạng năm từ 90 cv đến dưới 400 cv muốn chuyển đổi sang giấy chứng nhận khả năng chuyên môn phương tiện thủy nội địa thì cần những điều kiện gì?","Căn cứ quy định tại Điểm b Khoản 2 Điều 20 Thông tư số 02/2017/TT-BGTVT ngày 02/01/2017 sửa đổi bổ sung một số điều của Thông tư số 56/2014/TT-BGTVT, cụ thể.Anh, chị có nhu cầu chuyển đổi sang giấy chứng nhận khả năng chuyên môn phương tiện thủy nội địa phải có thời gian đảm nhiệm theo chức danh thuyền trưởng, máy trưởng tàu cá hạng năm đủ 18 tháng trở lên được chuyển đổi sang GCNKNCM thuyền trưởng, máy trưởng hạng ba phương tiện thủy nội địa nhưng phải hoàn thành chương trình bồi dưỡng nghề tương ứng với thuyền trưởng, máy trưởnghạng ba, dự thi các môn thi tương ứng với thuyền trưởng, máy trưởng hạng ba và phải đạt yêu cầu theo quy định.","Cấp, cấp lại, chuyển đổi giấy chứng nhận khả năng chuyên môn, chứng chỉ chuyên môn, Cấp, cấp lại, chuyển đổi Giấy chứng nhận khả năng chuyên môn thuyền trưởng, máy trưởng hạng nhất, hạng nhì trong phạm vi toàn quốc; Giấy chứng nhận khả năng chuyên môn thuyền trưởng từ hạng tư trở lên, máy trưởng từ hạng ba trở lên đối với các cơ sở dạy nghề trực thuộc Cục Đường thủy nội địa và chứng chỉ chuyên môn đặc biệt"
"Tôi chưa nhận chế độ ốm đau, thai sản bằng tiền mặt tại đơn vị sử dụng lao động, vậy ngoài đơn vị sử dụng lao động nơi tôi đang làm việc, tôi có thể nhận chế độ tại đâu?","Theo quy định tại Điều 5 Quyết định số 166/QĐ-BHXH ngày 31/01/2019 của Tổng Giám đốc BHXH Việt Nam ban hành quy trình giải quyết hưởng các chế độ BHXH, chi trả các chế độ BHXH, BHTN, ông/bà có thể đến cơ quan bảo hiểm xã hội nơi giải quyết chế độ ốm đau, thai sản để nhận tiền","Giải quyết hưởng chế độ thai sản, Giải quyết hưởng chế độ ốm đau"
Đề nghị cho tôi được biết đối tượng được hưởng ưu tiên trong tuyển dụng công chức?,"Theo quy định tại khoản 9 Điều 1 Nghị định số 161/2018/NĐ-CPngày 29/11/2018 của Chính phủ sửa đổi, bổ sung một số quy định về tuyển dụng công chức, viên chức, nâng ngạch công chức, thăng hạng viên chức và thực hiện chế độ hợp đồng một số loại công việc trong cơ quan hành chính nhà nước, đơn vị sự nghiệp công lập thì đối tượng và điểm ưu tiên trong thi tuyển hoặc xét tuyển công chức:
+ Anh hùng Lực lượng vũ trang, Anh hùng Lao động, thương binh, người hưởng chính sách như thương binh, thương binh loại B: được cộng 7,5 điểm vào kết quả điểm thi tại vòng 2;
+ Người dân tộc thiểu số, sĩ quan quân đội, sĩ quan công an, quân nhân chuyên nghiệp, người làm công tác cơ yếu chuyển ngành, con liệt sĩ, con thương binh, con bệnh binh, con của người hưởng chính sách như thương binh, con của thương binh loại B, con của người hoạt động cách mạng trước tổng khởi nghĩa (từ ngày 19/8/1945 trở về trước), con đẻ của người hoạt động kháng chiến bị nhiễm chất độc hóa học, con Anh hùng Lực lượng vũ trang, con Anh hùng Lao động: được cộng 5 điểm vào kết quả điểm thi tại vòng 2;
+ Người hoàn thành nghĩa vụ quân sự, nghĩa vụ phục vụ có thời hạn trong lực lượng công an nhân dân, đội viên thanh niên xung phong, đội viên trí thức trẻ tình nguyện tham gia phát triển nông thôn, miền núi từ đủ 24 tháng trở lên đã hoàn thành nhiệm vụ: được cộng 2,5 điểm vào kết quả điểm thi tại vòng 2.
- Trường hợp người dự thi tuyển công chức thuộc nhiều diện ưu tiên thì chỉ được cộng điểm ưu tiên cao nhất vào kết quả điểm thi tại vòng 2.",Thủ tục thi tuyển công chức
Việc tổ chức xét tuyển công chức được thực hiện như thế nào?,"Theo quy định tại khoản 6 Điều 1Nghị định số 161/2018/NĐ-CP ngày 29/11/2018 của Chính phủ sửa đổi, bổ sung một số quy định về tuyển dụng công chức, viên chức, nâng ngạch công chức, thăng hạng viên chức và thực hiện chế độ hợp đồng một số loại công việc trong cơ quan hành chính nhà nước, đơn vị sự nghiệp công lập thì việc tổ chức xét tuyển công chức được thực hiện thành 02 vòng, cụ thể như sau:
- Vòng 1 Kiểm tra điều kiện, tiêu chuẩn của người dự tuyển theo yêu cầu của vị trí việc làm đã đăng ký tại Phiếu đăng ký dự tuyển, nếu phù hợp thì người dự tuyển được tham dự vòng 2 quy định tại khoản 2 Điều này.
Chậm nhất là 05 ngày làm việc sau ngày kết thúc việc kiểm tra điều kiện, tiêu chuẩn của người dự tuyển tại vòng 1, người đứng đầu cơ quan có thẩm quyền tuyển dụng phải thông báo triệu tập thí sinh dự phỏng vấn vòng 2.
Chậm nhất là 15 ngày sau ngày thông báo triệu tập thí sinh được tham dự vòng 2 thì phải tiến hành tổ chức phỏng vấn vòng 2.
- Vòng 2
+ Phỏng vấn để kiểm tra về năng lực, trình độ chuyên môn của người dự tuyển.
+ Điểm phỏng vấn được tính theo thang điểm 100.
+ Thời gian phỏng vấn 30 phút.
+ Không thực hiện việc phúc khảo đối với kết quả phỏng vấn.",Thủ tục xét tuyển công chức
"Việc xác định người trúng tuyển kỳ thi nâng ngạch công chức lên ngạch chuyên viên cao cấp, chuyên viên chính, chuyên viên, cán sự hoặc tương đương được thực hiện như thế nào?","Theo quy định tại khoản 16 Điều 1 Nghị định số 161/2018/NĐ-CPngày 29/11/2018 của Chính phủ sửa đổi, bổ sung một số quy định về tuyển dụng công chức, viên chức, nâng ngạch công chức, thăng hạng viên chức và thực hiện chế độ hợp đồng một số loại công việc trong cơ quan hành chính nhà nước, đơn vị sự nghiệp công lập thì việc xác định người trúng tuyển trong kỳ thi nâng ngạch công chức được thực hiện như sau:
a) Đối với thi nâng ngạch lên chuyên viên cao cấp hoặc tương đương:
Người trúng tuyển kỳ thi nâng ngạch chuyên viên cao cấp hoặc tương đương phải có tổng kết quả điểm thi môn chuyên môn, nghiệp vụ tại vòng 2 quy định tại khoản 2 Điều 33 Nghị định này đạt từ 100 điểm trở lên (trong đó điểm thi của phần thi viết đề án và phần thi bảo vệ đề án phải đạt từ 50 điểm trở lên của mỗi phần thi), lấy theo thứ tự từ cao xuống thấp trong phạm vi chỉ tiêu nâng ngạch.
Trường hợp có từ 02 người trở lên có kết quả điểm thi tại vòng 2 bằng nhau ở chỉ tiêu nâng ngạch cuối cùng thì thứ tự ưu tiên trúng tuyển như sau: người dự tuyển là nữ; người dự tuyển là người dân tộc thiểu số; người dự tuyển nhiều tuổi hơn (tính theo ngày, tháng, năm sinh), trường hợp bằng tuổi nhau thì người có thời gian công tác nhiều hơn là người trúng tuyển.
Nếu vẫn không xác định được thì người đứng đầu cơ quan có thẩm quyền tổ chức thi nâng ngạch công chức quyết định người trúng tuyển theo đề nghị của người đứng đầu cơ quan quản lý công chức.
b) Đối với thi nâng ngạch lên chuyên viên chính, chuyên viên, cán sự hoặc tương đương:
Người trúng tuyển kỳ thi nâng ngạch chuyên viên chính hoặc tương đương, chuyên viên hoặc tương đương, cán sự hoặc tương đương phải có kết quả điểm thi môn chuyên môn, nghiệp vụ tại vòng 2 quy định tại khoản 2 Điều 33 Nghị định này đạt từ 50 điểm trở lên, lấy theo thứ tự từ cao xuống thấp trong phạm vi chỉ tiêu nâng ngạch. Trường hợp có từ 02 người trở lên có kết quả điểm thi bằng nhau ở chỉ tiêu nâng ngạch cuối cùng thì việc xác định người trúng tuyển được thực hiện như quy định tại điểm a khoản này.
c) Không thực hiện việc bảo lưu kết quả cho các kỳ thi nâng ngạch lần sau.",Thủ tục thi nâng ngạch công chức
"Khi đủ điều kiện đăng ký xét tuyển đặc cách vào viên chức thì tôi phải hoàn thiện và nộp những loại hồ sơ, giấy tờ gì?","Theo quy định tại Khoản 1 Điều 9 Thông tư số 15/2012/TT-BNV ngày 25/12/2012 của Bộ trưởng Bộ Nội vụ hướng dẫn về tuyển dụng, ký kết hợp đồng làm việc và đền bù chi phí đào tạo bồi dưỡng đối với viên chức thì khi đăng ký xét tuyển đặc cách vào viên chức bạn phải hoàn thiện và nộp các loại hồ sơ, giấy tờ sau:
1. Đơn đăng ký dự tuyển viên chức theo mẫu số 01 ban hành kèm theo Thông tư số 15/2012/TT-BNV;
2. Bản sơ yếu lý lịch tự thuật theo mẫu có xác nhận của cơ quan có thẩm quyền trong thời hạn 06 tháng, tính đến ngày nộp hồ sơ dự tuyển;
3. Bản sao các văn bằng chứng chỉ và kết quả học tập theo yêu cầu của vị trí dự tuyển, được cơ quan có thẩm quyền chứng thực. Trường hợp có văn bằng do cơ sở đào tạo nước ngoài cấp phải được công chứng dịch thuật sang tiếng Việt;
4. Giấy chứng nhận sức khỏe còn giá trị sử dụng do cơ quan y tế đủ điều kiện được khám sức khỏe chứng nhận theo quy định tại Thông tư số 13/2007/TTBYT ngày 21/11/2007 của Bộ Y tế về việc hướng dẫn khám sức khỏe;
5. Bản tự nhận xét, đánh giá của người được đề nghị xét tuyển đặc cách về phẩm chất chính trị, đạo đức, trình độ và năng lực chuyên môn, nghiệp vụ, quá trình công tác và các hình thức khen thưởng (nếu có); bản nhận xét và xác nhận của người đứng đầu cơ quan, tổ chức, đơn vị nơi người đó công tác đối với trường hợp tiếp nhận theo quy định tại Điểm a Khoản 1 Điều 14 Nghị định số 29/2012/NĐ-CP.",Thủ tục tiếp nhân vào làm viên chức
