Câu hỏi,Trả lời,Thủ tục liên quan
"Xe của tôi đang trong quá trình sang tên chỉ có Giấy hẹn cấp đăng ký, vậy xe tôi có được kiểm định không?","Theo thông tư 70/2015/TT-BGTVT xe cơ giới chỉ có Giấy hẹn cấp giấy đăng ký xe, Đơn vị đăng kiểm thực hiện kiểm định, nếu đạt yêu cầu thì chỉ dán Tem kiểm định và cấp Giấy hẹn trả Giấy chứng nhận kiểm định cho chủ xe. Khi chủ xe xuất trình giấy đăng ký xe thì Đơn vị đăng kiểm trả Giấy chứng nhận kiểm định.","Cấp Giấy chứng nhận, Tem kiểm định an toàn kỹ thuật và bảo vệ môi trường đối với phương tiện giao thông cơ giới đường bộ"
Tôi là Nguyễn Văn A năm nay 52 tuổi có GPLX hạng E. xin hỏi tôi được lái đến năm bao nhiêu tuổi?,"Khoản 3 Điều 37 Thông tư số 12/2017/TT-BGTVT ngày 15/4/2019 của Bộ trưởng Bộ GTVT có Quy định: Người có giấy phép lái xe hạng E đủ 55 tuổi đối với nam và 50 tuổi đối với nữ, có nhu cầu tiếp tục lái xe, nếu đủ sức khỏe theo quy định, được xét đổi giấy phép lái xe từ hạng D trở xuống.Trường hợp bạn hỏi đến nếu bạn có nhu cầu tiếp tục lái xe, nếu đủ sức khỏe theo quy định được xét đổi giấy phép lái xe từ hạng D trở xuống khi bạn quá 55 tuổi.",Đổi Giấy phép lái xe do ngành Giao thông vận tải cấp
"Tôi bị mất GPLX, do nhu cầu có GPLX để lái xe, xin hỏi thời gian mất cấp lại là bao nhiêu ngày?","Khoản 2 Điều 36 Thông tư số 12/2017/TT-BGTVT ngày 15/4/2019 của Bộ trưởng Bộ GTVT có Quy định: Sau 02 tháng kể từ ngày nộp đủ hồ sơ, chụp ảnh và nộp lệ phí theo quy định, nếu không phát hiện giấy phép lái xe đang bị cơ quan có thẩm quyền thu giữ, xử lý; có tên trong hồ sơ của cơ quan quản lý sát hạch, thì được cấp lại giấy phép lái xe.Trường hợp bạn hỏi, bạn được cấp lại sau 02 tháng từ ngày nộp đủ hồ sơ, chụp ảnh và nộp lệ phí theo quy định, nếu không phát hiện giấy phép lái xe đang bị cơ quan có thẩm quyền thu giữ, xử lý.",Cấp lại Giấy phép lái xe
"Tôi có GPLX ô tô quá hạn 02 năm có được cấp lại GPLX hay sát hạch lại, nếu sát hạch thì phải sát hạch nội dung gì?","Điểm b Khoản 1 Điều 36 Thông tư số 12/2017/TT-BGTVT ngày 15/4/2019 của Bộ trưởng Bộ GTVT có Quy định:Người có giấy phép lái xe quá thời hạn sử dụng:Từ 01 năm trở lên, kể từ ngày hết hạn, phải sát hạch lại cả lý thuyết và thực hành để cấp lại giấy phép lái xe.Trường hợp bạn hỏi, bạn phải sát hạch lại cả lý thuyết và thực hành để cấp lại giấy phép lái xe.",Cấp lại Giấy phép lái xe
Chu kỳ đầu áp dụng đối với xe đã sản xuất trong thời gian bao nhiêu năm?,"Theo thông tư 70/2015/TT-BGTVT quy định:- Chu kỳ đầu chỉ áp dụng đối với xe cơ giới chưa qua sử dụng kiểm định lần đầu trong thời gian 02 năm, tính từ năm sản xuất.","Cấp Giấy chứng nhận, Tem kiểm định an toàn kỹ thuật và bảo vệ môi trường đối với phương tiện giao thông cơ giới đường bộ"
"Xin hỏi, trường hợp nào thì người lái xe không được cấp giấy phép lái xe quốc tế ?","Căn cứ khoản 4 Điều 8 Thông tư số 29/2015/TT-BGTVT ngày 06/7/2015 của Bộ trưởng Bộ Giao thông vận tải quy định về cấp, sử dụng giấy phép lái xe quốc tế, không cấp giấy phép lái xe quốc tế đối với các trường hợp sau đây:a) Giấy phép lái xe quốc gia bị tẩy xóa, hư hỏng không có đủ các thông tin cần thiết hoặc có sự khác biệt về nhận dạng.b) Giấy phép lái xe quốc gia không do cơ quan có thẩm quyền cấp theo quy định.",Cấp Giấy phép lái xe quốc tế
"Tôi có nhu cầu học lái xe ô tô, tôi phải chuẩn bị hồ sơ như thế nào ?","Căn cứ Điều 9 Thông tư số 12/2017/TT-BGTVT ngày 15/4/2017 của Bộ trưởng Bộ Giao thông vận tải quy định về đào tạo, sát hạch, cấp giấy phép lái xe cơ giới đường bộ, Hồ sơ bao gồm:a) Đơn đề nghị học, sát hạch cấp giấy phép lái xe.b) Bản sao chứng minh nhân dân hoặc thẻ căn cước hoặc hộ chiếu còn thời hạn có ghi số giấy chứng minh nhân dân hoặc thẻ căn cước công dân đối với người Việt Nam; hộ chiếu còn thời hạn đối với người Việt Nam định cư ở nước ngoài.c) Bản sao hộ chiếu còn thời hạn trên 06 tháng và thẻ tạm trú hoặc thẻ thường trú hoặc chứng minh thư ngoại giao hoặc chứng minh thư công vụ đối với người nước ngoài.d) Giấy khám sức khỏe của người lái xe do cơ sở y tế có thẩm quyền cấp theo quy định.",Cấp Giấy phép lái xe
Khi đến đơn vị để lập hố sơ phương tiện và kiểm định lần đầu tôi phải mang theo các giấy tờ gì?,"Theo quy định tại thông tư 70/2015/TT-BGTVT các Giấy tờ khi lập hồ sơ phương tiện và kiểm định lần đầu là:a) Bản chính giấy đăng ký xe do cơ quan nhà nước có thẩm quyền cấp hoặc một trong các giấy tờ còn hiệu lực sau: Bản sao giấy đăng ký xe có xác nhận của ngân hàng đang cầm giữ; Bản sao giấy đăng ký xe có xác nhận của tổ chức cho thuê tài chính; Giấy hẹn cấp giấy đăng ký xe;b) Bản chính Giấy chứng nhận bảo hiểm trách nhiệm dân sự của chủ xe cơ giới còn hiệu lực;c) Giấy tờ chứng minh nguồn gốc phương tiện, gồm một trong các giấy tờ sau: Bản sao Phiếu kiểm tra chất lượng xuất xưởng đối với xe cơ giới sản xuất, lắp ráp trong nước; Bản sao có chứng thực quyết định tịch thu bán đấu giá của cấp có thẩm quyền đối với xe cơ giới bị tịch thu bán đấu giá; Bản sao có chứng thực quyết định thanh lý đối với xe cơ giới của lực lượng quốc phòng, công an; Bản sao có chứng thực quyết định bán xe dự trữ Quốc gia;d) Bản chính Giấy chứng nhận chất lượng ATKT và BVMT xe cơ giới cải tạo (đối với xe cơ giới mới cải tạo).e) Thông tin về tên đăng nhập, mật khẩu truy cập và địa chỉ trang WEB quản lý thiết bị giám sát hành trình đối với xe cơ giới thuộc đối tượng phải lắp thiết bị giám sát hành trình.","Cấp Giấy chứng nhận, Tem kiểm định an toàn kỹ thuật và bảo vệ môi trường đối với phương tiện giao thông cơ giới đường bộ"
Tôi có GPLX do ngành công an cấp nay tôi có quyết định nghỉ hưu nhưng GPLX của tôi bị hết hạn có đổi GPLX ngành GTVT được không?,Điểm a Khoản 6 Điều 37 Thông tư số 12/2017/TT-BGTVT ngày 15/4/2019 của Bộ trưởng Bộ GTVT có Quy định:Không đổi giấy phép lái xe đối với các trường hợp sau: giấy phép lái xe công an quá thời hạn sử dụng theo quy định.Trường hợp bạn hỏi không được đổi GPLX ngành GTVT.,"Đổi giấy phép lái xe do ngành Công an cấp sang giấy phép lái xe do ngành Giao thông vận tải cấp, Đổi Giấy phép lái xe do ngành Giao thông vận tải cấp"
"Tôi có GPLX, muốn có 02 GPLX tôi báo mất xin cấp lại được không?","Khoản 14 Điều 33 Thông tư số 12/2017/TT-BGTVT ngày 15/4/2019 của Bộ trưởng Bộ GTVT có Quy định:người tẩy xoá, làm sai lệch các thông tin trên giấy phép lái xe; sử dụng giấy phép lái xe hoặc hồ sơ lái xe giả; sử dụng giấy phép lái xe đã khai báo mất để điều khiển phương tiện cơ giới đường bộ; có hành vi gian dối khác để được đổi, cấp lại, cấp mới giấy phép lái xe, ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe, hồ sơ gốc và cập nhật dữ liệu quản lý trên hệ thống giấy phép lái xe còn phải chịu trách nhiệm trước pháp luật và không được cấp giấy phép lái xe trong thời hạn 05 năm, kể từ ngày phát hiện hành vi vi phạm, nếu có nhu cầu cấp lại giấy phép lái xe phải học và sát hạch như trường hợp cấp giấy phép lái xe lần đầu.Trường hợp bạn hỏi, Sở GTVT đã xử lý đúng quy định.",Cấp lại Giấy phép lái xe
