Câu hỏi,Trả lời,Thủ tục liên quan
Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng đối với trường hợp xây dựng mới công trình tín ngưỡng bao gồm những tài liệu gì?,"Theo quy định tại Khoản 4 Điều 8 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Bản vẽ mặt bằng vị trí công trình trên lô đất tỷ lệ 1/100 - 1/500, kèm theo sơ đồ vị trí công trình;- Bản vẽ các mặt bằng, các mặt đứng và mặt cắt chủ yếu của công trình, tỷ lệ 1/50 - 1/200; - Bản vẽ mặt bằng móng tỷ lệ 1/100 - 1/200 và mặt cắt móng tỷ lệ 1/50, kèm theo sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật về giao thông; cấp nước; thoát nước mưa, nước bẩn; xử lý nước thải; cấp điện; thông tin liên lạc; các hệ thống hạ tầng kỹ thuật khác liên quan đến công trình tỷ lệ 1/50 - 1/200.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Tôi có công trình xây dựng không theo tuyến cấp I, vậy đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng giai đoạn 1 bao gồm những tài liệu gì?","Theo quy định tại Khoản 1 Điều 9 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Giai đoạn 1:+ Bản vẽ mặt bằng công trình trên lô đất tỷ lệ 1/100 - 1/500, kèm theo sơ đồ vị trí công trình;+ Bản vẽ mặt bằng móng tỷ lệ 1/100 - 1/200 và mặt cắt móng tỷ lệ 1/50, bản vẽ mặt bằng, mặt cắt chính của phần công trình đã được phê duyệt trong giai đoạn 1 tỷ lệ 1/50 - 1/200 kèm theo sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật, gồm: Giao thông, thoát nước mưa, xử lý nước thải, cấp nước, cấp điện, thông tin liên lạc tỷ lệ 1/100 - 1/200.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Thời gian cấp giấy phép xây dựng nhà ở riêng lẻ tại đô thị là bao lâu?,"Theo quy định tại Điểm e Khoản 1 Điều 102 Luật Xây dựng, kể từ ngày nhận đủ hồ sơ hợp lệ, cơ quan có thẩm quyền cấp giấy phép xây dựng phải xem xét hồ sơ để cấp giấy phép trong thời gian 15 ngày. Trường hợp đến thời hạn cấp giấy phép nhưng cần phải xem xét thêm thì cơ quan cấp giấy phép xây dựng phải thông báo bằng văn bản cho chủ đầu tư biết lý do, đồng thời báo cáo cấp có thẩm quyền quản lý trực tiếp xem xét và chỉ đạo thực hiện, nhưng không được quá 10 ngày kể từ ngày hết hạn theo quy định tại khoản này.","Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
Giấy chứng nhận quyền sử dụng đất được cấp theo quy định của Luật Đất đai năm 1987 có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?,Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sử dụng đất được cấp theo quy định của Luật Đất đai năm 1987 được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới công trình cấp đặc biệt (bao gồm giấy phép xây dựng mới, giấy phép sửa chữa, cải tạo, giấy phép di dời công trình), Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được cấp theo quy định của Luật Đất đai năm 2013 có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được cấp theo quy định của Luật Đất đai năm 2013 được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới công trình cấp đặc biệt (bao gồm giấy phép xây dựng mới, giấy phép sửa chữa, cải tạo, giấy phép di dời công trình), Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Các loại giấy tờ đủ điều kiện để cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất nhưng chưa được cấp giấy chứng nhận gồm: Các loại giấy tờ quy định tại Điều 100 của Luật Đất đai năm 2013, Điều 18 của Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai năm 2013 và quy định tại khoản 16 Điều 2 Nghị định số 01/2017/NĐ-CP ngày 06 tháng 01 năm 2017 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định chi tiết thi hành Luật Đất đai hoặc giấy xác nhận của Ủy ban nhân dân cấp xã và được cơ quan đăng ký đất đai xác nhận đủ điều kiện để cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Các loại giấy tờ đủ điều kiện để cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất nhưng chưa được cấp giấy chứng nhận gồm: Các loại giấy tờ quy định tại Điều 100 của Luật Đất đai năm 2013, Điều 18 của Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai năm 2013 và quy định tại khoản 16 Điều 2 Nghị định số 01/2017/NĐ-CP ngày 06 tháng 01 năm 2017 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định chi tiết thi hành Luật Đất đai hoặc giấy xác nhận của Ủy ban nhân dân cấp xã và được cơ quan đăng ký đất đai xác nhận đủ điều kiện để cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Tôi và anh/em tôi đến Văn phòng công chứng yêu cầu công chứng văn bản thỏa thuận phân chia di sản trong ngày làm việc. Công chứng viên trả lời, yêu cầu của chúng tôi không thực hiện trong ngày được, mà phải thực hiện việc niêm yết 15 ngày. Công chứng viên trả lời có đúng không.","Điều 18, Luật công chứng về việc niêm yết việc thụ lý công chứng văn bản thỏa thuận phân chia di sản. Theo đó, quy định việc thụ lý công chứng văn bản thỏa thuận phân chia di sản, phải được niêm yết trong thời hạn 15 ngày, kể từ ngày niêm yết. Việc niêm yết do tổ chức hành nghề công chứng thực hiện tại trụ sở của Ủy ban nhân cấp xã nơi thường trú cuối cùng của người để lại di sản; trường hợp không xác định được nơi thường trú cuối cùng thì niêm yết tại nơi tạm trú có thời hạn cuối cùng của người đó.Căn cứ quy định nêu trên thì việc công chứng viên trả lời công chứng văn bản thỏa thuận phân chia di sản không thể thực hiện trong ngày mà phải niêm yết trong thời hạn 15 ngày là phù hợp với quy định của pháp luật.","Công chứng văn bản thỏa thuận phân chia di sản, Thủ tục chứng thực văn bản thỏa thuận phân chia di sản mà di sản là động sản, Chứng thực văn bản phân chia di sản mà di sản là động sản, quyền sử dụng đất, nhà ở"
"Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình sửa chữa, cải tạo tôi lấy làm theo hướng dẫn ở đâu?",Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép sửa chữa, cải tạo công trình cấp đặc biệt, Cấp giấy phép sửa chữa, cải tạo đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh, Cấp giấy phép sửa chữa, cải tạo đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp lại giấy phép xây dựng cho nhà ở riêng lẻ tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 2 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
Mẫu giấy phép xây dựng cho công trình theo tuyến trong đô thị quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 3) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
